TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.1090.10	-	0.069436340296603	-2.66734491312081	1	1	0.00168067226890756	595	8569	7381	UQCRB
1.10.1240.10	-	0.069436340296603	-2.66734491312081	1	1	0.00168067226890756	595	8569	4548	MTR
2.40.180.10	-	0.069436340296603	-2.66734491312081	1	1	0.00168067226890756	595	8569	847	CAT
4.10.720.10	-	0.069436340296603	-2.66734491312081	1	1	0.00168067226890756	595	8569	9372	ZFYVE9
3.40.50.10190	-	0.071091368534777	-2.64378934849067	23	4	0.00672268907563025	595	8569	11073,142,10926,4683	TOPBP1,PARP1,DBF4,NBN
4.10.1060.10	-	0.0800546409074697	-2.52504586611098	7	2	0.00336134453781513	595	8569	10181,2130	RBM5,EWSR1
3.80.20.20	-	0.0800546409074697	-2.52504586611098	7	2	0.00336134453781513	595	8569	3643,3480	INSR,IGF1R
1.20.190.20	-	0.0800546409074697	-2.52504586611098	7	2	0.00336134453781513	595	8569	7531,7532	YWHAE,YWHAG
1.50.10.50	-	0.0800546409074697	-2.52504586611098	7	2	0.00336134453781513	595	8569	4121,80267	MAN1A1,EDEM3
1.10.150.60	-	0.0811231459041995	-2.51178695902091	15	3	0.00504201680672269	595	8569	8284,51742,84159	KDM5D,ARID4B,ARID5B
1.25.40.180	-	0.0811231459041995	-2.51178695902091	15	3	0.00504201680672269	595	8569	8672,1981,1983	EIF4G3,EIF4G1,EIF5
3.40.50.720	-	0.0847434250304631	-2.46812711649262	171	17	0.0285714285714286	595	8569	81577,6652,1488,207063,9249,145482,9563,80146,873,84263,51741,79876,84656,191,55711,441024,79689	GFOD2,SORD,CTBP2,DHRSX,DHRS3,PTGR2,H6PD,UXS1,CBR1,HSDL2,WWOX,UBA5,GLYR1,AHCY,FAR2,MTHFD2L,STEAP4
1.10.400.10	-	0.0949044793890298	-2.3548843733313	16	3	0.00504201680672269	595	8569	2778,2776,2771	GNAS,GNAQ,GNAI2
3.30.50.10	-	0.0980560462932133	-2.32221606283343	57	7	0.0117647058823529	595	8569	367,57459,2100,6095,7067,6256,7182	AR,GATAD2B,ESR2,RORA,THRA,RXRA,NR2C2
1.50.10.10	-	0.101963515148971	-2.28314022430378	8	2	0.00336134453781513	595	8569	10314,55915	LANCL1,LANCL2
1.10.565.10	-	0.113073905740141	-2.17971364095764	48	6	0.0100840336134454	595	8569	367,2100,6095,7067,6256,7182	AR,ESR2,RORA,THRA,RXRA,NR2C2
1.20.1270.60	-	0.125785132371795	-2.07318012634407	28	4	0.00672268907563025	595	8569	23647,27236,26060,51100	ARFIP2,ARFIP1,APPL1,SH3GLB1
3.90.15.10	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	7150	TOP1
2.20.25.100	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	51065	RPS27L
3.30.30.50	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	1983	EIF5
1.10.10.540	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	5886	RAD23A
3.40.50.10050	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	4528	MTIF2
3.30.1740.10	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	142	PARP1
3.40.50.280	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	4548	MTR
3.30.1560.10	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	4116	MAGOH
1.10.1140.10	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	523	ATP6V1A
1.25.40.190	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	81873	ARPC5L
1.10.10.490	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	84328	LZIC
1.20.960.10	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	9804	TOMM20
2.170.11.10	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	7150	TOP1
1.10.132.10	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	7150	TOP1
1.10.10.41	-	0.13405881666159	-2.00947664502258	2	1	0.00168067226890756	595	8569	7150	TOP1
2.30.29.30	-	0.15282698204717	-1.87844883376051	382	32	0.053781512605042	595	8569	55691,8874,2059,83605,7204,81846,55740,119385,50618,23683,6002,56899,6711,23637,9922,2965,6655,10087,11214,26060,57584,114885,23075,9459,10000,114882,55198,5332,6093,23095,8650,57679	FRMD4A,ARHGEF7,EPS8,CCM2,TRIO,SBF2,ENAH,AGAP11,ITSN2,PRKD3,RGS12,ANKS1B,SPTBN1,RABGAP1,IQSEC1,GTF2H1,SOS2,COL4A3BP,AKAP13,APPL1,ARHGAP21,OSBPL11,SWAP70,ARHGEF6,AKT3,OSBPL8,APPL2,PLCB4,ROCK1,KIF1B,NUMB,ALS2
4.10.1000.10	-	0.164979698320321	-1.80193285313456	31	4	0.00672268907563025	595	8569	55854,10150,4154,29066	ZC3H15,MBNL2,MBNL1,ZC3H7A
2.130.10.30	-	0.175487642939985	-1.74018664915353	21	3	0.00504201680672269	595	8569	6103,8925,57679	RPGR,HERC1,ALS2
1.10.150.50	-	0.184393971115637	-1.69068066299479	104	10	0.0168067226890756	595	8569	51283,80012,2078,56899,8496,259230,80114,142891,2113,8658	BFAR,PHC3,ERG,ANKS1B,PPFIBP1,SGMS1,BICC1,SAMD8,ETS1,TNKS
3.30.70.590	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	10914	PAPOLA
3.20.20.330	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	4548	MTR
1.10.150.310	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	79736	TEFM
2.20.28.10	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	4175	MCM6
1.10.1520.10	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	23405	DICER1
1.10.10.430	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	5494	PPM1A
3.30.1390.20	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	285855	RPL7L1
1.20.1160.11	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	54856	GON4L
4.10.630.10	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	8648	NCOA1
4.10.320.10	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	1629	DBT
4.10.1170.10	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	9261	MAPKAPK2
3.30.1490.40	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	26058	GIGYF2
1.10.287.40	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	7175	TPR
3.30.1390.10	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	197131	UBR1
2.60.120.330	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	444	ASPH
2.20.140.10	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	142	PARP1
1.10.3520.10	-	0.194200640412567	-1.63886342543433	3	1	0.00168067226890756	595	8569	80772	GLTPD1
3.40.525.10	-	0.211756103395746	-1.5523201222727	23	3	0.00504201680672269	595	8569	54834,663,7204	GDAP2,BNIP2,TRIO
