Probe Set ID	UniGene ID.1
511_s_at	Hs.89426.1
40733_f_at	Hs.89404.1
40734_r_at	Hs.89404.1
37976_at	Hs.8904.1
36809_at	Hs.889.1
166_at	Hs.8882.1
40726_at	Hs.8878.1
38773_at	Hs.88778.1
38772_at	Hs.8867.1
38771_at	Hs.88556.1
476_s_at	Hs.88556.1
35404_at	Hs.88372.1
37524_at	Hs.88297.1
37963_at	Hs.88251.1
40730_at	Hs.88218.1
39130_at	Hs.88025.1
32411_at	Hs.88013.1
40723_at	Hs.88012.1
38764_at	Hs.87889.1
38765_at	Hs.87889.1
37960_at	Hs.8786.1
38763_at	Hs.878.1
40771_at	Hs.87752.1
37959_at	Hs.87726.1
37958_at	Hs.8769.1
37957_at	Hs.8763.1
36807_at	Hs.87619.1
37956_at	Hs.87539.1
37955_at	Hs.8752.1
1277_at	Hs.87435.1
34011_at	Hs.87247.1
31544_at	Hs.87236.1
34009_at	Hs.87225.1
40715_at	Hs.87205.1
35020_at	Hs.87202.1
41586_at	Hs.87191.1
41587_g_at	Hs.87191.1
41588_at	Hs.87191.1
37948_at	Hs.86905.1
1680_at	Hs.86859.1
37944_at	Hs.86724.1
40710_at	Hs.86368.1
38755_at	Hs.86131.1
1000_at	Hs.861.1
38753_at	Hs.85951.1
37941_at	Hs.85937.1
36392_at	Hs.85863.1
39690_at	Hs.85862.1
40705_at	Hs.8578.1
37938_at	Hs.85769.1
1021_at	Hs.856.1
1611_s_at	Hs.856.1
40702_at	Hs.856.1
37937_at	Hs.85570.1
38751_i_at	Hs.85539.1
38752_r_at	Hs.85539.1
38750_at	Hs.8546.1
33140_at	Hs.8526.1
40699_at	Hs.85258.1
40698_at	Hs.85201.1
33139_s_at	Hs.85195.1
38740_at	Hs.85155.1
37928_at	Hs.84928.1
40694_at	Hs.84905.1
1032_at	Hs.846.1
1033_g_at	Hs.846.1
664_at	Hs.846.1
38485_at	Hs.84549.1
494_at	Hs.845.1
39299_at	Hs.84429.1
40693_at	Hs.84244.1
33135_at	Hs.84190.1
37920_at	Hs.84136.1
1599_at	Hs.84113.1
38470_i_at	Hs.84084.1
38471_r_at	Hs.84084.1
36804_at	Hs.840.1
1506_at	Hs.84.1
573_at	Hs.839.1
35015_at	Hs.838.1
40691_at	Hs.83761.1
40690_at	Hs.83758.1
38455_at	Hs.83753.1
38456_s_at	Hs.83753.1
37912_at	Hs.8375.1
37911_at	Hs.83734.1
36802_at	Hs.83731.1
37731_at	Hs.83722.1
36739_at	Hs.8364.1
37910_at	Hs.83634.1
38444_at	Hs.83577.1
38440_s_at	Hs.83530.1
33130_at	Hs.83465.1
38435_at	Hs.83383.1
37908_at	Hs.83381.1
38434_at	Hs.83347.1
38429_at	Hs.83190.1
38428_at	Hs.83169.1
37903_at	Hs.83147.1
37904_s_at	Hs.83147.1
37905_r_at	Hs.83147.1
37902_at	Hs.83114.1
1165_at	Hs.83077.1
31477_at	Hs.82961.1
37896_at	Hs.82961.1
37897_s_at	Hs.82961.1
37898_r_at	Hs.82961.1
38417_at	Hs.82927.1
37894_at	Hs.82919.1
38416_at	Hs.82916.1
34004_at	Hs.82906.1
38413_at	Hs.82890.1
38412_at	Hs.82887.1
245_at	Hs.82848.1
38410_at	Hs.82794.1
1309_at	Hs.82793.1
37891_at	Hs.82719.1
40682_at	Hs.82614.1
37649_at	Hs.82609.1
38398_at	Hs.82548.1
37646_at	Hs.82502.1
40677_at	Hs.82482.1
38394_at	Hs.82432.1
38386_r_at	Hs.82327.1
37641_at	Hs.82316.1
33118_at	Hs.82222.1
37629_at	Hs.82201.1
37624_at	Hs.82129.1
368_at	Hs.82128.1
38369_at	Hs.82116.1
38126_at	Hs.821.1
33113_at	Hs.82071.1
38124_at	Hs.82045.1
577_at	Hs.82045.1
1814_at	Hs.82028.1
1815_g_at	Hs.82028.1
1198_at	Hs.82002.1
34001_at	Hs.8198.1
40673_at	Hs.81934.1
38116_at	Hs.81892.1
820_at	Hs.81874.1
38114_at	Hs.81848.1
37611_at	Hs.81791.1
1115_at	Hs.81564.1
37609_at	Hs.81469.1
155_s_at	Hs.81424.1
457_s_at	Hs.81424.1
38091_at	Hs.81337.1
766_at	Hs.81337.1
1461_at	Hs.81328.1
33999_f_at	Hs.81221.1
34000_r_at	Hs.81221.1
34653_at	Hs.81218.1
38082_at	Hs.8118.1
1779_s_at	Hs.81170.1
883_s_at	Hs.81170.1
31343_at	Hs.81134.1
37603_at	Hs.81134.1
37602_at	Hs.81131.1
32619_at	Hs.81073.1
32620_at	Hs.81073.1
33101_g_at	Hs.81073.1
37600_at	Hs.81071.1
32438_at	Hs.8102.1
38076_at	Hs.80986.1
418_at	Hs.80976.1
419_at	Hs.80976.1
33998_at	Hs.80962.1
38075_at	Hs.80919.1
558_at	Hs.80828.1
38071_at	Hs.808.1
37596_at	Hs.80776.1
37594_at	Hs.80756.1
1348_s_at	Hs.80741.1
37593_at	Hs.80741.1
1249_at	Hs.80720.1
32979_at	Hs.80720.1
37592_at	Hs.80691.1
37591_at	Hs.80658.1
906_at	Hs.80642.1
38057_at	Hs.80552.1
38058_at	Hs.80552.1
38059_g_at	Hs.80552.1
33656_at	Hs.80545.1
37587_at	Hs.80539.1
40657_r_at	Hs.80485.1
40658_r_at	Hs.80485.1
1911_s_at	Hs.80409.1
38051_at	Hs.80395.1
37583_at	Hs.80358.1
1167_s_at	Hs.80343.1
160037_at	Hs.80343.1
37577_at	Hs.80305.1
37849_at	Hs.80305.1
37576_at	Hs.80296.1
37570_at	Hs.80132.1
35406_at	Hs.8004.1
40655_at	Hs.8004.1
38037_at	Hs.799.1
37566_at	Hs.7989.1
31716_at	Hs.79769.1
37562_at	Hs.79769.1
38024_at	Hs.7972.1
38025_r_at	Hs.7972.1
34652_at	Hs.79564.1
38013_at	Hs.7946.1
1119_at	Hs.79411.1
32603_at	Hs.79411.1
1594_at	Hs.79402.1
32601_s_at	Hs.79402.1
37766_s_at	Hs.79387.1
37554_at	Hs.79361.1
1670_at	Hs.79353.1
37757_at	Hs.79353.1
37551_at	Hs.79347.1
37753_at	Hs.79335.1
454_at	Hs.79335.1
37544_at	Hs.79334.1
37542_at	Hs.79299.1
37748_at	Hs.79276.1
37538_at	Hs.7921.1
37537_at	Hs.792.1
37533_r_at	Hs.79170.1
1798_at	Hs.79136.1
32590_at	Hs.79110.1
1920_s_at	Hs.79101.1
37727_i_at	Hs.79088.1
37728_r_at	Hs.79088.1
37725_at	Hs.79081.1
37721_at	Hs.79064.1
37722_s_at	Hs.79064.1
35966_at	Hs.79033.1
32589_at	Hs.79018.1
37716_at	Hs.79015.1
37707_i_at	Hs.78989.1
37708_r_at	Hs.78989.1
40649_at	Hs.78977.1
37703_at	Hs.78948.1
781_at	Hs.78948.1
37701_at	Hs.78944.1
40647_at	Hs.78919.1
40646_at	Hs.78913.1
408_at	Hs.789.1
37692_at	Hs.78888.1
37690_at	Hs.78880.1
37684_at	Hs.7884.1
1001_at	Hs.78824.1
32901_s_at	Hs.7879.1
37679_at	Hs.7879.1
37269_at	Hs.78788.1
1926_at	Hs.78781.1
37268_at	Hs.78781.1
37267_at	Hs.78769.1
37263_at	Hs.78619.1
37667_at	Hs.78601.1
37665_at	Hs.78592.1
37664_at	Hs.78582.1
37256_at	Hs.78524.1
37257_at	Hs.78524.1
278_at	Hs.78518.1
1312_at	Hs.78466.1
32584_at	Hs.78466.1
931_at	Hs.784.1
34541_at	Hs.78358.1
689_at	Hs.78358.1
37410_at	Hs.78354.1
37408_at	Hs.7835.1
31352_at	Hs.78224.1
37402_at	Hs.78224.1
37399_at	Hs.78183.1
37395_at	Hs.78089.1
37248_at	Hs.78068.1
37394_at	Hs.78065.1
37247_at	Hs.78061.1
37392_at	Hs.78060.1
31653_at	Hs.78036.1
40402_at	Hs.78036.1
37246_at	Hs.78019.1
35569_at	Hs.77978.1
37379_at	Hs.77897.1
37243_at	Hs.77890.1
39235_at	Hs.77876.1
40400_at	Hs.77867.1
942_at	Hs.77854.1
249_at	Hs.77810.1
37368_at	Hs.77810.1
37369_s_at	Hs.77810.1
37370_i_at	Hs.77810.1
33995_at	Hs.778.1
1768_s_at	Hs.77793.1
37238_s_at	Hs.77783.1
37239_r_at	Hs.77783.1
480_at	Hs.77783.1
37365_at	Hs.77768.1
37234_at	Hs.77741.1
37235_g_at	Hs.77741.1
37236_at	Hs.77741.1
40394_at	Hs.77719.1
37231_at	Hs.77695.1
37361_at	Hs.7768.1
37230_at	Hs.7764.1
37355_at	Hs.77628.1
32572_at	Hs.77578.1
968_i_at	Hs.77578.1
970_r_at	Hs.77578.1
37348_s_at	Hs.77558.1
37349_r_at	Hs.77558.1
37338_at	Hs.77498.1
37330_at	Hs.77448.1
37331_g_at	Hs.77448.1
37332_r_at	Hs.77448.1
37329_at	Hs.7744.1
37220_at	Hs.77424.1
37326_at	Hs.77422.1
37219_at	Hs.77367.1
32569_at	Hs.77318.1
37317_at	Hs.77318.1
37310_at	Hs.77274.1
37307_at	Hs.77269.1
37304_at	Hs.77254.1
37295_at	Hs.77100.1
941_at	Hs.77060.1
37043_at	Hs.76884.1
37042_at	Hs.76873.1
37207_at	Hs.76838.1
32562_at	Hs.76753.1
37204_at	Hs.76716.1
1123_at	Hs.767.1
32383_at	Hs.767.1
32384_g_at	Hs.767.1
37033_s_at	Hs.76686.1
36787_at	Hs.765.1
923_at	Hs.76480.1
40389_at	Hs.76460.1
37018_at	Hs.7644.1
37016_at	Hs.76394.1
37015_at	Hs.76392.1
33640_at	Hs.76364.1
33641_g_at	Hs.76364.1
37011_at	Hs.76364.1
1976_s_at	Hs.7636.1
36998_s_at	Hs.76253.1
240_at	Hs.76244.1
241_g_at	Hs.76244.1
32551_at	Hs.76224.1
37196_at	Hs.76206.1
36156_at	Hs.76152.1
36989_at	Hs.76111.1
36988_at	Hs.76090.1
36980_at	Hs.75969.1
36972_at	Hs.75914.1
36964_at	Hs.75890.1
36955_at	Hs.75864.1
36953_at	Hs.75862.1
509_at	Hs.75862.1
510_g_at	Hs.75862.1
36951_at	Hs.75859.1
37190_at	Hs.75850.1
36945_at	Hs.75841.1
37189_at	Hs.75835.1
36941_at	Hs.75823.1
36939_at	Hs.75819.1
897_at	Hs.75813.1
37188_at	Hs.75812.1
634_at	Hs.75799.1
36934_at	Hs.75798.1
36932_at	Hs.75782.1
36677_at	Hs.75724.1
36674_at	Hs.75703.1
36673_at	Hs.75694.1
36670_at	Hs.75682.1
37181_at	Hs.75659.1
1289_at	Hs.75652.1
1290_g_at	Hs.75652.1
37179_at	Hs.75643.1
36663_at	Hs.75640.1
37178_at	Hs.75639.1
36662_at	Hs.75636.1
1546_at	Hs.75619.1
37176_at	Hs.75619.1
36657_at	Hs.75615.1
37175_at	Hs.75599.1
37173_at	Hs.75573.1
36640_at	Hs.75535.1
36930_at	Hs.75528.1
36639_at	Hs.75527.1
993_at	Hs.75516.1
430_at	Hs.75514.1
40385_at	Hs.75498.1
260_at	Hs.75438.1
36623_at	Hs.75431.1
36607_at	Hs.75372.1
1426_at	Hs.75367.1
1427_g_at	Hs.75367.1
40383_at	Hs.75361.1
36600_at	Hs.75348.1
36595_s_at	Hs.75335.1
36596_r_at	Hs.75335.1
36591_at	Hs.75318.1
36590_at	Hs.75317.1
318_at	Hs.75307.1
319_g_at	Hs.75307.1
36919_r_at	Hs.753.1
40382_at	Hs.75294.1
36584_at	Hs.75285.1
36580_at	Hs.75277.1
36579_at	Hs.75275.1
40381_at	Hs.75264.1
36914_at	Hs.75262.1
36915_at	Hs.75262.1
36575_at	Hs.75256.1
371_at	Hs.75254.1
36208_at	Hs.75243.1
36209_at	Hs.75243.1
36210_g_at	Hs.75243.1
36912_at	Hs.75238.1
36206_at	Hs.75231.1
36205_at	Hs.75227.1
635_s_at	Hs.75199.1
36199_at	Hs.75189.1
