ProbeID	PrimaryAccession
A_23_P151544	NM_020414
A_32_P232808	AF289566
A_24_P786713	A_24_P786713
A_23_P389569	NM_178860
A_23_P202345	NM_032804
A_24_P136094	NM_001080414
A_32_P128258	NR_002804
A_23_P75179	NM_017609
A_23_P143285	AK000809
A_24_P45367	NM_020448
A_23_P33773	A_23_P33773
A_23_P143288	AK000809
A_24_P926931	AF244570
A_24_P926935	BE540788
A_24_P75019	AF274938
A_24_P58910	AF072164
A_23_P205101	NM_025138
A_23_P420373	NM_175630
A_32_P88598	ENST00000369453
A_23_P389532	NM_152462
A_32_P107282	ENST00000376974
A_32_P336690	NM_013373
A_23_P43566	NM_014222
A_24_P927015	A_24_P927015
A_23_P143274	NM_024958
A_24_P25550	BC039065
A_32_P232825	CD612636
A_24_P306585	CD359021
A_23_P168683	NM_019082
A_32_P145039	AK056534
A_24_P289420	NM_015262
A_23_P202361	NM_182639
A_24_P107208	NM_203364
A_24_P625382	NM_003651
A_24_P145087	AY007124
A_23_P60458	NM_178001
A_23_P346477	AJ406935
A_32_P14744	NM_001019
A_24_P159227	NM_020168
A_24_P323715	ENST00000383061
A_24_P306594	AL834308
A_23_P26254	NM_016013
A_23_P168692	NM_001014436
A_32_P185140	AK094175
A_32_P18838	BC051742
A_24_P9605	NM_032902
A_24_P164718	NM_016496
A_32_P185149	NM_006913
A_23_P33723	NM_004244
A_32_P164325	THC2586456
A_23_P33720	NM_006567
A_24_P25530	NM_000835
A_24_P547010	A_24_P547010
A_23_P26243	NM_037370
A_24_P926960	NM_001409
A_24_P75008	ENST00000255741
A_24_P202497	NM_020648
A_23_P420361	NM_018462
A_24_P289404	NM_001029
A_23_P340890	BC092427
A_24_P34944	NM_032094
A_32_P122595	THC2702250
A_23_P143242	NM_005194
A_23_P60479	NM_001539
A_24_P312189	NM_019606
A_24_P218001	NM_021148
A_32_P116391	THC2651172
A_23_P143247	NM_173485
A_32_P232851	THC2645586
A_24_P817209	AK125077
A_23_P60472	NM_018449
A_24_P25544	NM_000514
A_24_P926972	AK000923
A_32_P72682	A_32_P72682
A_23_P420334	NM_152595
A_32_P34495	AK026418
A_24_P69691	NM_145011
A_23_P346421	NM_018181
A_24_P107277	NM_006442
A_23_P408175	NM_144667
A_32_P232865	NM_021574
A_24_P164731	NM_006858
A_23_P420348	NM_174981
A_32_P799227	ENST00000372303
A_23_P48628	NM_006977
A_23_P144827	NM_012304
A_32_P164378	THC2703271
A_32_P122579	THC2564393
A_23_P55518	NM_005904
A_23_P347777	NM_001040274
A_23_P346431	NM_152394
A_24_P4678	NM_014384
A_24_P323754	AK098562
A_24_P25520	BC038840
A_24_P145047	NM_015042
A_24_P281988	NM_015184
A_32_P8120	NM_014366
A_32_P89976	BC017766
A_23_P92786	ENST00000265271
A_23_P346405	NM_138357
A_23_P307860	NM_174959
A_23_P143218	NM_005469
A_24_P145019	AK095554
A_24_P538839	BC020376
A_24_P817236	ENST00000366569
A_32_P232883	BC089451
A_24_P706953	AK055841
A_32_P163089	ENST00000310995
A_32_P168605	BC039411
A_23_P420326	NM_153756
A_24_P136011	A_24_P136011
A_23_P23380	NM_022821
A_32_P820004	AK097497
A_24_P917951	BC009786
A_24_P700052	AK098638
A_24_P532727	THC2644335
A_23_P408167	NM_001004051
A_32_P164351	A_32_P164351
A_24_P53080	NM_000126
A_24_P323778	A_24_P323778
A_24_P927041	NM_012409
A_24_P273583	AY142148
A_24_P235305	NM_016096
A_24_P136029	NM_000338
A_24_P104926	NM_080825
A_32_P158892	THC2662240
A_23_P259141	NM_030776
A_23_P393749	NM_178019
A_24_P289471	NM_003730
A_24_P682550	A_24_P682550
A_32_P107208	NM_018265
A_24_P235338	NM_007332
A_23_P307844	NM_174933
A_23_P129332	NM_001076780
A_32_P177539	NM_024335
A_23_P129334	NM_001287
A_24_P145035	AK097639
A_24_P281975	NM_024312
A_24_P927090	AF116678
A_23_P26223	NM_000048
A_24_P384823	AK095037
A_23_P393777	NM_000953
A_23_P48663	NM_021728
A_24_P296347	NM_018427
A_24_P97342	NM_021935
A_23_P48669	NM_005192
A_23_P311232	NM_015282
A_24_P145009	NM_001013723
A_24_P312164	AL110179
A_32_P139634	THC2717131
A_23_P114423	NM_004683
A_24_P235360	NM_017884
A_32_P218707	A_32_P218707
A_24_P252223	NM_021945
A_24_P273561	NM_018169
A_23_P48698	NM_003814
A_24_P706901	BF895757
A_23_P393766	NM_173636
A_24_P740492	THC2627449
A_23_P48691	NM_001663
A_24_P97374	NM_005442
A_32_P184394	NM_012252
A_23_P259166	NM_024863
A_32_P122529	NM_001004351
A_24_P682579	XR_017478
A_23_P129312	NM_017726
A_23_P129313	ENST00000249760
A_23_P75769	NM_024021
A_32_P53538	ENST00000314571
A_24_P235316	NM_005662
A_24_P613108	A_24_P613108
A_24_P75920	NM_001080503
A_24_P161853	A_24_P161853
A_24_P273599	NM_002214
A_23_P393713	NM_002180
A_32_P163046	A_32_P163046
A_23_P259172	NM_006280
A_23_P165295	NM_002501
A_23_P324916	NM_013992
A_24_P115511	NM_016322
A_32_P107219	ENST00000380186
A_24_P288754	NM_002641
A_23_P129322	NM_002225
A_23_P114405	NM_012286
A_24_P281923	NM_001931
A_32_P8147	AI277022
A_23_P80336	NM_020243
A_23_P165280	NM_002695
A_23_P207319	NM_003954
A_24_P307974	BC033728
A_24_P84508	XR_018553
A_32_P89997	BX116163
A_23_P316850	NM_182577
A_23_P259103	NM_022090
A_24_P170660	NM_015001
A_24_P170667	NM_032199
A_24_P914573	AK094769
A_23_P135730	NM_145295
A_23_P347720	BC080577
A_32_P53558	ENST00000341569
A_24_P384867	AB033088
A_24_P307964	NM_001012415
A_24_P307963	BC030106
A_24_P269779	NM_004273
A_24_P573514	BC033528
A_23_P105646	NM_005171
A_24_P281908	NM_015267
A_23_P129301	NM_018097
A_23_P135722	NM_001729
A_23_P408108	NM_006980
A_24_P53025	NM_018335
A_23_P393727	NM_201266
A_23_P80353	NM_031488
A_24_P273523	AK097965
A_23_P259127	NM_017697
A_32_P53524	BC092429
A_24_P312119	AI084055
A_24_P115507	NM_007101
A_23_P146325	NR_002765
A_24_P307993	BC035312
A_23_P311201	ENST00000341154
A_23_P14853	NM_002344
A_24_P914513	NM_183050
A_24_P281913	AF272382
A_24_P914519	S67289
A_23_P80321	NM_021974
A_23_P129358	NM_024860
A_24_P481534	AK022066
A_24_P85478	AJ009771
A_23_P259135	NM_014071
A_24_P9883	NM_138368
A_32_P178966	ENST00000379426
A_24_P573533	NM_172003
A_24_P324644	A_24_P324644
A_32_P117846	THC2736955
A_24_P170613	AF487905
A_23_P14863	NM_024111
A_23_P129367	NM_032269
A_23_P431912	NM_152577
A_32_P31182	NM_000971
A_24_P118052	NM_199254
A_23_P80377	NM_007229
A_32_P57989	BX115064
A_24_P282377	AL713660
A_23_P100583	NM_006151
A_24_P338603	NM_003036
A_23_P324989	NM_001003716
A_23_P135778	NM_018461
A_23_P146339	NM_005309
A_23_P165239	NM_007153
A_23_P80342	NM_006116
A_32_P227027	THC2693842
A_24_P85418	BC041996
A_24_P41794	NM_014069
A_23_P135769	NM_001101
A_23_P14841	NM_022048
A_23_P200374	NM_052896
A_24_P25080	NM_201453
A_23_P14845	BX647599
A_23_P80398	NM_152299
A_24_P85400	BC030525
A_23_P258525	NM_019888
A_24_P384851	NM_001007559
A_23_P339079	NM_152360
A_23_P23318	NM_006784
A_23_P146367	NM_032310
A_23_P146361	NM_007171
A_32_P15364	BM690036
A_23_P311246	AF090895
A_24_P745635	XM_928443
A_24_P273489	NM_207372
A_24_P706983	THC2674691
A_23_P202280	NM_014000
A_23_P408195	NM_152399
A_23_P339003	NM_152269
A_24_P33785	AK057830
A_24_P935881	NM_022978
A_24_P51909	NM_006651
A_23_P400036	BC012036
A_23_P80362	NM_005008
A_23_P165219	NM_032152
A_24_P273510	AK094659
A_23_P100595	BC005072
A_32_P117804	BC045187
A_32_P25838	A_32_P25838
A_32_P134580	NM_002128
A_23_P151294	NM_000619
A_23_P165214	NM_021047
A_24_P320880	NM_022133
A_23_P151297	NM_015319
A_23_P23341	NM_006314
A_23_P14821	NM_000814
A_24_P62237	NM_022766
A_23_P39125	NM_015710
A_24_P366607	NM_203451
A_24_P118011	NM_001080459
A_23_P339053	BC027604
A_24_P384909	BC080589
A_23_P252874	NM_015234
A_23_P88280	NM_138376
A_23_P146347	NM_017645
A_32_P25809	A_32_P25809
A_23_P165201	NM_021232
A_24_P75994	A_24_P75994
A_24_P693448	AK023769
A_32_P117812	BX640928
A_24_P41781	XM_001127349
A_24_P481582	AK026429
A_23_P39131	NM_015710
A_23_P39137	NM_004491
A_23_P390006	NM_138325
A_23_P80389	NM_018006
A_24_P941268	NM_007220
A_24_P99216	NM_014045
A_23_P146379	NM_012416
A_32_P195501	THC2659392
A_23_P80382	NM_015366
A_23_P123478	NM_002603
A_23_P140591	NM_007011
A_24_P693454	AK024868
A_32_P132563	NM_002701
A_23_P100576	NM_002795
A_23_P129389	NM_017740
A_24_P397107	NM_001789
A_23_P129382	NM_005425
A_24_P412156	NM_000609
A_24_P220472	NM_181727
A_32_P25823	BX648347
A_24_P384969	BC015977
A_32_P15328	THC2674734
A_23_P252855	NM_018321
A_24_P83928	A_24_P83928
A_24_P384961	BC014369
A_32_P15320	NM_001402
A_32_P121234	A_32_P121234
A_23_P123463	NM_153332
A_23_P151280	NM_032901
A_23_P123466	NM_153332
A_24_P937965	BC030992
A_24_P397150	NM_005255
A_24_P60680	NM_013941
A_24_P914590	BC002769
A_23_P168368	NM_025031
A_23_P92895	NM_018047
A_23_P92899	NM_031908
A_23_P146354	NM_007171
A_23_P60793	AK023392
A_23_P157809	NM_012212
A_23_P100556	NM_001013839
A_24_P552677	A_24_P552677
A_24_P366644	XR_016075
A_23_P123454	NM_024815
A_23_P339098	NM_017515
A_32_P109029	NM_022036
A_23_P125423	NM_001733
A_24_P342807	NM_017964
A_32_P145385	AK001118
A_23_P339095	NM_178313
A_23_P75441	NM_032344
A_23_P165247	NM_170711
A_23_P302914	NM_020972
A_32_P196843	NM_198515
A_23_P123440	NM_007175
A_23_P100501	NM_002134
A_23_P390044	NM_002359
A_32_P202759	NM_177454
A_23_P39171	NM_033106
A_23_P140527	NM_012182
A_24_P932266	A_24_P932266
A_24_P85498	AL117481
A_23_P100539	NM_001171
A_24_P636451	AK023559
A_23_P375104	NM_018193
A_32_P56890	XM_932316
A_23_P202219	NM_015916
A_24_P932270	A_24_P932270
A_32_P10960	NM_015262
A_23_P39185	NM_138412
A_23_P92885	NM_173488
A_24_P247978	NM_016089
A_32_P10968	A_32_P10968
A_24_P342829	NM_152527
A_24_P935819	BC016934
A_24_P636441	AK022223
A_23_P123424	NM_000749
A_24_P786257	THC2571287
A_23_P415820	AB023136
A_24_P366656	NM_001009555
A_23_P168324	NM_014809
A_23_P415827	ENST00000296873
A_32_P7823	NM_144578
A_24_P366652	NM_005353
A_32_P109036	NM_175910
A_24_P247902	ENST00000380195
A_23_P14892	NM_004970
A_23_P252825	NM_012235
A_24_P708161	A_24_P708161
A_24_P33705	NM_198229
A_23_P168329	NM_014464
A_23_P202206	NM_183239
A_32_P153071	NM_003382
A_24_P889462	ENST00000390613
A_23_P75453	NM_130803
A_23_P100517	NM_145254
A_32_P389770	ENST00000319804
A_23_P375165	NM_207459
A_23_P374944	ENST00000355898
A_24_P693433	AK022364
A_32_P117884	THC2588507
A_23_P352022	NR_003367
A_23_P168351	NM_012259
A_24_P247910	AB033067
A_23_P168357	NM_001868
A_24_P33770	NM_032550
A_24_P289795	ENST00000323057
A_32_P25889	BC036938
A_24_P181055	NM_006278
A_23_P170088	BC065002
A_24_P69538	NM_138554
A_23_P75402	NM_004551
A_23_P123402	NM_184086
A_24_P41706	NM_153003
A_23_P415806	A_23_P415806
A_23_P168306	NM_003931
A_24_P467371	NM_001012968
A_24_P366670	NM_002285
A_23_P151267	NM_016357
A_24_P247920	AB051439
A_23_P151264	NM_000834
A_24_P377895	NM_000448
A_32_P164494	THC2535233
A_32_P169735	NM_144596
A_24_P334130	NM_054034
A_32_P195582	THC2697746
A_23_P75470	NM_020680
A_23_P252808	NM_012477
A_24_P122403	ENST00000374536
A_23_P375147	ENST00000373670
A_24_P48284	ENST00000300458
A_24_P589301	AF086216
A_32_P96719	NM_024745
A_24_P99679	NM_000937
A_23_P337346	AK056484
A_23_P14886	NM_032520
A_23_P202258	NM_003201
A_24_P247931	NM_183420
A_24_P666553	THC2674165
A_24_P407866	NM_006455
A_23_P168339	NM_002377
A_24_P932238	AY040225
A_24_P75157	NM_004610
A_24_P889473	AF085920
A_24_P467358	NM_001404
A_23_P151209	NM_030809
A_32_P96748	CR744880
A_24_P25498	BC031872
A_24_P932203	NM_006766
A_23_P160787	NM_004565
A_23_P202245	NM_020975
A_32_P109078	THC2674915
A_32_P80897	BC033110
A_24_P932208	S78695
A_24_P279328	NM_130766
A_23_P152949	NM_033413
A_24_P25484	BC030118
A_23_P367676	NM_015477
A_23_P420236	NM_203487
A_23_P337327	AL137530
A_23_P420293	NM_145013
A_23_P363034	ENST00000307201
A_23_P202275	NM_145202
A_23_P390097	NM_152574
A_32_P128368	H12329
A_23_P403398	NR_002186
A_23_P152955	NM_017622
A_23_P367663	AF220263
A_32_P82383	U79301
A_24_P771821	BF478043
A_24_P25470	BC027922
A_24_P235098	NM_033260
A_23_P60727	NM_002247
A_23_P202269	NM_020987
A_24_P929019	THC2578705
A_23_P420281	NM_002738
A_23_P88249	NM_018107
A_24_P75127	ENST00000277491
A_23_P152963	NM_017622
A_24_P279307	NM_139018
A_32_P195515	NM_015232
A_24_P145184	BC021560
A_23_P75430	NM_020179
A_32_P96752	AW946823
A_24_P107303	NM_001558
A_23_P60775	NM_021938
A_23_P211926	NM_003392
A_24_P93251	NM_001417
A_24_P323434	NM_152562
A_23_P26173	NM_007364
A_23_P48530	NM_032594
A_23_P48535	NM_001173
A_23_P152970	NM_016339
A_23_P252892	DQ786230
A_24_P242036	NR_002184
A_23_P32805	NM_017551
A_23_P26184	NM_017996
A_24_P25452	BC020966
A_23_P207493	NM_016424
A_24_P714707	A_24_P714707
A_23_P420269	NM_020748
A_24_P289709	ENST00000380231
A_23_P158662	NM_212492
A_24_P247987	BC010099
A_24_P472655	A_24_P472655
A_23_P24774	NM_000352
A_23_P36408	NM_022916
A_24_P815488	BQ182271
A_23_P152906	NM_000697
A_23_P74920	NM_014357
A_23_P114783	NM_001618
A_24_P328657	NM_016559
A_23_P152909	NM_000697
A_32_P145335	AL049387
A_32_P164477	AI379175
A_24_P927116	AI796347
A_23_P60753	THC2721409
A_32_P306678	AB051467
A_24_P159548	NM_080669
A_32_P53486	NM_001039182
A_23_P26154	NM_002666
A_23_P367628	NM_014802
A_24_P312692	NM_006595
A_23_P420256	NM_021925
A_32_P145348	CD626016
A_23_P92824	NM_031482
A_23_P32861	NM_015938
A_32_P107983	ENST00000383092
A_23_P152919	NM_002532
A_24_P159515	NM_014726
A_24_P25437	BC016338
A_24_P323421	ENST00000320831
A_23_P415882	NM_001001563
A_32_P128399	A_32_P128399
A_24_P323425	NM_018152
A_23_P168388	NM_175571
A_23_P48523	NM_001049
A_24_P917833	NM_006827
A_32_P128391	AL162073
A_24_P262221	NM_032268
A_24_P115490	NM_000264
A_23_P152926	J02940
A_23_P367618	NM_003412
A_24_P752999	A_24_P752999
A_24_P289726	NM_002809
A_23_P252882	NM_005212
A_23_P366216	NM_003524
A_23_P367610	NM_178123
A_32_P198399	NM_000671
A_24_P914057	M14755
A_24_P202581	NM_199002
A_23_P403335	NM_015065
A_32_P66788	AK023394
A_23_P48570	NM_182908
A_24_P296274	ENST00000299978
A_23_P92842	NM_016103
A_23_P32847	NM_001510
A_23_P24763	NM_001017
A_23_P341966	AF342990
A_23_P408070	NM_001125
A_24_P771880	T70285
A_24_P872971	AI042062
A_24_P76694	A_24_P76694
A_23_P60742	NM_013292
A_23_P26143	XM_096885
A_32_P169785	THC2572376
A_32_P177667	THC2642249
A_24_P883577	THC2657091
A_32_P131870	A_32_P131870
A_24_P498652	NM_000217
A_24_P261904	NM_024643
A_24_P145163	BC016922
A_32_P150632	ENST00000360615
A_23_P26117	NM_006715
A_23_P420218	NM_031895
A_32_P225870	THC2575688
A_23_P146084	NM_000637
A_23_P48550	NM_015005
A_24_P932293	THC2495281
A_24_P296254	NM_014783
A_23_P53397	NM_138473
A_23_P92860	NM_021147
A_24_P289753	A_24_P289753
A_23_P53390	NM_002837
A_23_P395534	NM_006511
A_23_P386888	NM_145727
A_24_P273694	BC032871
A_24_P235012	NM_014341
A_23_P26124	NM_134260
A_23_P420209	NM_004751
A_23_P48561	NM_005864
A_24_P332721	A_24_P332721
A_24_P136551	AB040932
A_24_P713267	NM_001009562
A_24_P115450	NM_018688
A_24_P872967	THC2662876
A_23_P53363	NM_033276
A_24_P714750	A_24_P714750
A_23_P74981	NM_033213
A_24_P261929	NM_206949
A_24_P378202	NM_138450
A_24_P145103	BC001335
A_24_P75688	A_24_P75688
A_23_P61498	NM_015848
A_23_P207400	NM_007295
A_24_P919963	A_24_P919963
A_24_P115443	NM_018688
A_23_P395555	NM_001032372
A_23_P147166	AF516696
A_23_P53370	NM_014470
A_23_P200298	NM_000028
A_23_P81408	NM_182796
A_24_P331373	NM_031444
A_24_P927166	AF085913
A_32_P150645	M78233
A_24_P280274	NM_176823
A_23_P26107	NM_022841
A_32_P150642	THC2679424
A_24_P252575	NM_012197
A_23_P152984	NM_005782
A_23_P135084	NM_000972
A_23_P418031	ENST00000304963
A_24_P393014	ENST00000355888
A_24_P235049	NM_015440
A_23_P53346	NM_015257
A_23_P53345	NM_020183
A_24_P145124	BC039711
A_23_P129225	NM_002420
A_24_P145122	ENST00000367142
A_24_P914208	A_24_P914208
A_24_P76604	AK097637
A_23_P80213	NM_003935
A_32_P8402	NM_006372
A_24_P273647	AL833749
A_32_P72341	NM_173084
A_24_P136522	AK095679
A_32_P15288	BX114329
A_23_P207461	NM_020178
A_24_P536974	T75585
A_23_P152995	NM_001045
A_23_P418046	BC002572
A_23_P152992	AK125672
A_23_P114713	NM_000779
A_32_P109165	A_32_P109165
A_24_P58331	NM_024819
A_23_P412491	NM_005599
A_23_P358628	DQ287932
A_32_P53433	BF956667
A_24_P85775	NM_004848
A_32_P113483	THC2696211
A_24_P202512	NM_016271
A_23_P46017	NM_001008661
A_24_P927451	A_24_P927451
A_23_P165598	NM_001017920
A_24_P296280	NM_018145
A_23_P330017	NM_020438
A_23_P53324	NM_024623
A_24_P366967	NM_017737
A_23_P105571	NM_020244
A_23_P59179	NM_021976
A_24_P267452	NM_012099
A_23_P129209	NM_002168
A_24_P273666	NM_080425
A_24_P58308	AF147412
A_32_P57870	NM_002802
A_23_P207445	NM_002758
A_24_P161959	NM_199337
A_32_P187234	AI028577
A_24_P618476	THC2654949
A_23_P135079	AF095737
A_24_P312671	NM_005590
A_23_P14975	NM_032140
A_23_P114736	NM_002241
A_24_P273679	NM_006106
A_23_P129279	NM_018602
A_32_P178879	ENST00000375169
A_24_P636390	AF009267
A_32_P72351	AK026140
A_32_P208120	NM_153498
A_32_P139123	THC2560068
A_23_P48581	NM_021944
A_23_P48585	NM_005407
A_23_P330070	NM_001032281
A_24_P76649	NM_198281
A_23_P114740	NM_002113
A_24_P76644	NM_001031833
A_23_P425324	NR_003281
A_23_P395582	NM_174900
A_24_P202522	NM_001650
A_24_P273603	BC005407
A_23_P393401	BC008178
A_32_P208136	NM_198468
A_24_P202527	NM_005901
A_23_P165582	NM_006226
A_24_P115424	NM_016512
A_23_P146004	NM_024814
A_23_P208198	AK093036
A_24_P937817	AK026195
A_24_P623478	AI264747
A_32_P198303	NM_181706
A_23_P135015	BC001725
A_23_P358662	NM_001040157
A_24_P202558	NM_015073
A_24_P99371	NM_017736
A_24_P202555	NM_015073
A_32_P225806	AK094950
A_23_P100693	NM_014877
A_23_P311358	NM_003575
A_24_P682601	XR_019446
A_24_P244356	NM_170722
A_23_P129246	NM_025201
A_23_P14946	NM_003791
A_23_P39445	NM_203304
A_24_P288448	ENST00000379392
A_23_P14948	NM_003791
A_23_P339117	NM_173688
A_23_P425304	NM_016169
A_32_P46238	NR_001443
A_23_P339119	NM_024560
A_24_P412036	NM_172312
A_24_P188085	ENST00000382794
A_23_P80278	NM_001007467
A_32_P15264	BF512676
A_23_P311346	AL713773
A_23_P152791	NM_004694
A_24_P481824	AF086017
A_23_P114774	NM_006556
A_32_P198325	NM_207644
A_23_P425332	NM_058237
A_23_P135031	NM_014334
A_23_P14939	NM_015914
A_24_P273635	NM_133636
A_24_P53150	NM_032271
A_32_P15211	THC2679519
A_32_P217581	AW276844
A_23_P165574	NM_017969
A_24_P41690	NM_023011
A_24_P914289	S81579
A_23_P135007	NM_019897
A_23_P39465	NM_004335
A_24_P914282	BC015783
A_32_P198371	AK091355
A_23_P14928	NM_020312
A_23_P251881	NM_147130
A_23_P165548	NM_022460
A_24_P202567	NM_025194
A_24_P142228	NM_033251
A_32_P208173	THC2655900
A_23_P80295	NM_003490
A_23_P165541	THC2641611
A_24_P481844	BC035650
A_24_P142223	NM_033251
A_23_P100642	NM_002686
A_32_P208178	NM_001006
A_24_P937855	CR936771
A_23_P14915	NM_001896
A_23_P408095	NM_001011546
A_23_P408094	NM_002357
A_32_P9753	BC024020
A_23_P129291	NM_201631
A_24_P319113	NM_002562
A_23_P146058	NM_001695
A_23_P75391	NM_020901
A_32_P437004	NM_175569
A_23_P393495	A_23_P393495
A_23_P146050	NM_024699
A_24_P693986	NM_001013642
A_23_P165513	A_23_P165513
A_24_P919958	THC2599033
A_32_P132477	THC2539563
A_23_P352389	NM_152343
A_23_P39402	NM_198867
A_24_P38081	NM_004117
A_32_P7974	NM_182499
A_32_P44210	BC037328
A_23_P146066	NM_003114
A_23_P43786	AL832783
A_24_P459739	BC015776
A_23_P100660	NM_002615
A_24_P722292	THC2658991
A_24_P41662	A_24_P41662
A_23_P3681	NM_018092
A_32_P222241	A_32_P222241
A_23_P251898	NM_152743
A_23_P202189	NM_173342
A_24_P636318	NM_001009993
A_32_P88479	NM_015264
A_23_P251893	NM_152743
A_23_P146077	NM_018660
A_23_P323924	NM_001002261
A_23_P165535	NM_001959
A_24_P324538	A_24_P324538
A_23_P100676	NM_017575
A_32_P117503	BG821581
A_32_P7916	BX096603
A_23_P412409	NM_015172
A_32_P33294	BM808621
A_24_P884506	THC2707049
A_24_P33055	A_24_P33055
A_23_P165504	NM_003284
A_24_P919940	A_24_P919940
A_24_P62708	NM_002731
A_32_P515088	AF086045
A_24_P810828	BC044637
A_23_P100602	NM_005993
A_23_P39410	NM_013938
A_32_P38268	BF335933
A_23_P3663	NM_138418
A_23_P363399	NM_030674
A_32_P104617	AK055960
A_24_P48723	NM_000961
A_23_P92994	NM_020194
A_32_P203836	BC035863
A_23_P92999	NM_016279
A_32_P82671	AA769452
A_32_P437041	NM_182521
A_23_P323943	NM_178498
A_24_P636332	NM_198489
A_24_P919916	AF181999
A_32_P121140	THC2714090
A_23_P202138	NM_030971
A_24_P247493	A_24_P247493
A_24_P397043	NM_173216
A_24_P262395	NM_012138
A_23_P92983	NM_017614
A_24_P33077	NM_002145
A_23_P252936	NM_015266
A_23_P339191	NM_005188
A_23_P412427	AF435951
A_23_P352358	NM_138346
A_32_P82623	AK023045
A_23_P75325	NM_003901
A_23_P165521	NM_003162
A_24_P41629	NM_001011538
A_24_P188005	BC017880
A_24_P33048	NM_001017923
A_23_P168062	NM_003587
A_32_P109315	BC034930
A_24_P76414	AF217970
A_24_P328872	NM_012073
A_23_P412476	NM_148903
A_32_P82650	THC2613186
A_23_P75330	NM_004966
A_23_P252928	NM_005367
A_24_P786172	NM_015088
A_23_P100632	NM_001002033
A_24_P366989	THC2569387
A_24_P188071	NM_032704
A_32_P96419	THC2743357
A_32_P134402	BC039344
A_32_P129340	BC031940
A_23_P3651	NM_005332
A_23_P151376	A_23_P151376
A_23_P132889	NM_001014809
A_32_P109328	THC2493621
A_32_P456318	AK090803
A_23_P252913	NM_018190
A_23_P202117	BC007377
A_24_P587621	XR_018206
A_32_P151191	THC2533465
A_32_P41858	THC2512028
A_23_P304016	BC006438
A_32_P25982	A_32_P25982
A_32_P216426	NM_001011724
A_32_P823560	ENST00000344581
A_23_P151368	NM_174928
A_24_P366994	NM_004309
A_23_P43726	NM_015231
A_23_P3627	NM_003119
A_23_P403081	NM_198566
A_23_P24688	ENST00000378260
A_23_P252903	NM_022464
A_32_P203878	THC2741040
A_32_P82631	A_32_P82631
A_23_P75310	NM_021226
A_24_P538119	A_24_P538119
A_32_P96435	NM_001037232
A_23_P157970	NM_014425
A_23_P168014	NM_021066
A_24_P323598	NM_001017420
A_23_P3632	NM_013275
A_23_P39481	NM_019112
A_23_P412468	NM_152780
A_23_P202170	NM_012215
A_23_P168019	NM_024493
A_24_P69439	NM_030780
A_32_P865343	AL359654
A_23_P75362	ENST00000382123
A_24_P919920	AK092987
A_23_P120325	NM_002254
A_24_P247408	AY129010
A_32_P134451	AI206757
A_23_P151307	NM_006105
A_23_P3602	XM_001127131
A_32_P38283	NM_174910
A_32_P10327	AX721098
A_23_P202100	A_23_P202100
A_23_P202104	NM_005729
A_24_P216964	ENST00000367142
A_24_P181149	NM_024685
A_32_P82610	THC2667264
A_23_P152487	NM_005548
A_23_P33573	NM_057088
A_24_P216968	ENST00000367142
A_23_P32938	NM_004398
A_23_P151337	NR_002605
A_23_P160481	NM_018442
A_32_P10311	AF305816
A_23_P202156	NM_002502
A_32_P33213	THC2718728
A_24_P746044	A_24_P746044
A_24_P181178	NM_178040
A_24_P353300	NM_016733
A_23_P43764	NM_033540
A_23_P43765	NM_033540
A_32_P353677	AF343078
A_23_P43763	NM_015993
A_24_P505981	A_24_P505981
A_23_P60627	NM_001141
A_24_P453259	ENST00000367942
A_23_P151321	NM_000970
A_24_P686263	A_24_P686263
A_32_P212108	THC2536659
A_23_P33558	NM_001080856
A_23_P32913	NM_031905
A_24_P372012	NM_004968
A_23_P43713	NM_001017424
A_24_P919995	L17326
A_23_P26094	NM_024755
A_23_P60610	NM_007097
A_23_P92909	NM_205841
A_24_P942312	A_24_P942312
A_32_P2863	THC2684060
A_24_P913056	NM_201384
A_32_P128409	BC014265
A_23_P92903	NM_031908
A_32_P95949	NM_015336
A_24_P289299	NM_133483
A_23_P32903	NM_000276
A_24_P944040	NM_015056
A_24_P638608	A_24_P638608
A_23_P43744	THC2777566
A_23_P26084	NM_018445
A_32_P27209	THC2688670
A_24_P944049	AB011154
A_23_P140675	NM_000119
A_23_P202143	BC006769
A_24_P181101	NM_022918
A_23_P24623	NM_019040
A_23_P8981	NM_000349
A_23_P32975	NM_013379
A_23_P43779	NM_016129
A_24_P15083	A_24_P15083
A_23_P32970	AW085513
A_32_P78528	NM_178014
A_24_P76586	AK095544
A_23_P26072	AF118084
A_23_P92928	NM_000065
A_23_P92929	NM_016644
A_24_P942335	BC002881
A_23_P48438	NM_199162
A_24_P872838	A_24_P872838
A_24_P819890	AK023401
A_24_P372048	NM_006555
A_24_P919989	BC015334
A_24_P547659	A_24_P547659
A_24_P323522	ENST00000298622
A_24_P748377	AL833456
A_23_P26062	NM_001080462
A_24_P247464	XR_018522
A_32_P27220	BC035064
A_32_P7611	THC2674101
A_23_P92954	NM_000414
A_24_P181120	NM_002624
A_24_P289260	NM_214462
A_23_P138376	NM_021252
A_24_P289265	AK024328
A_24_P306788	A_24_P306788
A_23_P32955	U08023
A_23_P252981	NM_021804
A_23_P200361	NM_001286
A_32_P107441	AA076992
A_23_P60657	NM_015203
A_32_P212141	A_32_P212141
A_23_P33511	AX721087
A_24_P164505	BC098294
A_24_P247454	XR_019026
A_24_P942354	NM_006224
