ProbeID	PrimaryAccession
A_32_P351968	NM_002118
A_23_P26836	NM_005828
A_23_P213102	NM_016081
A_23_P337422	NM_001018067
A_23_P403836	A_23_P403836
A_23_P50137	NM_016626
A_23_P337424	NM_001018067
A_23_P50131	A_23_P50131
A_24_P911676	NM_003107
A_24_P400324	ENST00000262042
A_23_P92161	NM_025047
A_23_P47292	NM_004771
A_23_P8119	NM_152735
A_23_P92967	NM_004531
A_32_P178365	THC2559669
A_24_P180886	NM_144984
A_24_P926382	AF086528
A_23_P210297	A_23_P210297
A_23_P50121	NM_005912
A_24_P230466	XR_018953
A_24_P911663	NM_001080414
A_23_P356755	NM_001806
A_24_P255324	XR_018106
A_32_P926007	BC031827
A_23_P8123	THC2641906
A_23_P92196	NM_032579
A_24_P938284	ENST00000367960
A_24_P218620	U32331
A_24_P938281	THC2519901
A_24_P112447	NM_020354
A_23_P26815	NM_031430
A_23_P26810	NM_000546
A_32_P193792	AF161353
A_32_P185701	BC041959
A_32_P40235	BC033566
A_24_P255314	NR_003273
A_23_P331598	NM_006391
A_23_P92184	NM_019069
A_32_P61132	A_32_P61132
A_32_P18630	A_32_P18630
A_24_P348845	NM_181623
A_23_P86801	NM_032645
A_24_P15834	NM_019105
A_24_P926993	A_24_P926993
A_24_P107897	NM_015914
A_23_P143414	NM_080748
A_23_P50108	NM_006101
A_24_P937317	NM_001014336
A_24_P911644	A_24_P911644
A_23_P392994	AK023107
A_24_P400376	NM_016139
A_24_P96505	NM_001495
A_32_P224586	THC2667616
A_24_P58381	NM_017780
A_32_P156746	BE825944
A_24_P279938	NM_058191
A_24_P932785	AF318320
A_23_P86838	NM_152313
A_32_P185718	A_32_P185718
A_24_P15803	A_24_P15803
A_23_P8108	NM_002123
A_32_P213831	NM_020704
A_32_P133213	THC2562062
A_23_P337464	NM_181705
A_24_P4036	BC007365
A_23_P210285	A_23_P210285
A_23_P98477	ENST00000344762
A_32_P88310	BM932296
A_24_P255338	NM_004922
A_32_P88317	ENST00000302096
A_24_P58395	NM_198549
A_23_P86822	NM_014679
A_24_P15856	ENST00000323662
A_23_P98483	NM_021211
A_24_P25354	NM_006283
A_32_P113193	NM_014630
A_24_P930384	BM978504
A_24_P400355	NM_015949
A_23_P253068	NM_013366
A_23_P403886	NM_005838
A_24_P82106	NM_004995
A_24_P15823	XR_015255
A_24_P15821	XR_015255
A_23_P59470	BC038972
A_24_P938243	A_24_P938243
A_23_P83991	A_23_P83991
A_24_P25326	NM_007167
A_23_P403898	NM_002829
A_24_P100761	NM_017679
A_23_P98455	NM_014622
A_23_P81153	NM_033632
A_32_P185741	THC2693741
A_23_P420551	NM_007174
A_32_P351936	NM_174930
A_23_P53697	NM_002235
A_24_P4272	NM_016322
A_24_P14634	NM_133455
A_24_P15870	AF333762
A_32_P49334	BC036909
A_24_P384755	NM_024894
A_24_P384604	A_24_P384604
A_23_P105251	NM_005269
A_23_P162355	NM_018953
A_23_P98463	NM_032811
A_32_P88349	BM008292
A_32_P380365	BC016673
A_32_P441530	AM393308
A_23_P8142	NM_001832
