Probe Set ID	UniGene ID
1426089_a_at	Mm.222093
1426090_a_at	Mm.280819
1426091_a_at	Mm.4709
1426092_a_at	Mm.326945
1426093_at	Mm.326945
1426094_at	Mm.40907
1426095_a_at	Mm.261384
1426096_at	Mm.251804
1426097_a_at	Mm.458194
1426098_a_at	Mm.29163
1426099_at	Mm.207073
1426100_a_at	Mm.183110
1426101_at	Mm.464374
1426102_at	Mm.268175
1426103_a_at	Mm.2561
1426104_at	Mm.311337
1426105_a_at	Mm.282029
1426106_a_at	Mm.88818
1426107_at	Mm.215162
1426108_s_at	Mm.41252
1426109_a_at	Mm.44158
1426110_a_at	Mm.4772
1426111_x_at	Mm.3960
1426112_a_at	Mm.188157
1426113_x_at	Mm.213248
1426114_at	Mm.280842
1426115_a_at	Mm.261168
1426116_at	Mm.215164
1426117_a_at	Mm.35444
1426118_a_at	Mm.440173
1426119_at	Mm.391420
1426120_a_at	Mm.2299
1426121_at	Mm.240142
1426122_a_at	Mm.33477
1426123_a_at	Mm.13705
1426124_a_at	Mm.1761
1426125_a_at	Mm.88829
1426126_a_at	Mm.333757
1426127_x_at	---
1426128_a_at	Mm.40615
1426129_at	Mm.458277
1426130_at	Mm.213208
1426131_at	Mm.200587
1426132_at	---
1426133_a_at	Mm.63984
1426134_at	Mm.338508
1426135_a_at	Mm.311110
1426136_x_at	Mm.439698
1426137_at	Mm.459453
1426138_a_at	Mm.371673
1426139_a_at	Mm.269254
1426140_x_at	---
1426141_at	Mm.389895
1426142_a_at	Mm.338508
1426143_at	Mm.338508
1426144_x_at	Mm.338508
1426145_at	---
1426146_a_at	Mm.288897
1426147_s_at	Mm.390755
1426148_at	Mm.213199
1426149_at	---
1426150_at	Mm.218755
1426151_a_at	Mm.272264
1426152_a_at	Mm.45124
1426153_a_at	Mm.345891
1426154_s_at	Mm.250267
1426155_a_at	Mm.46336
1426156_at	Mm.347899
1426157_a_at	Mm.175163
1426158_at	Mm.333026
1426159_x_at	Mm.333026
1426160_a_at	Mm.17461
1426161_at	---
1426162_a_at	Mm.379004
1426163_x_at	Mm.379004
1426164_a_at	Mm.8
1426165_a_at	Mm.34405
1426166_at	Mm.445286
1426167_a_at	Mm.222329
1426168_a_at	Mm.213248
1426169_a_at	Mm.391375
1426170_a_at	Mm.333148
1426171_x_at	Mm.24399
1426172_a_at	Mm.32510
1426173_at	Mm.443878
1426174_s_at	---
1426175_a_at	Mm.3301
1426176_a_at	Mm.87365
1426177_a_at	Mm.334281
1426178_at	Mm.333124
1426179_a_at	Mm.10153
1426180_a_at	Mm.1397
1426181_a_at	Mm.196691
1426182_a_at	Mm.56899
1426183_a_at	Mm.111026
1426184_a_at	Mm.29816
1426185_at	Mm.273084
1426186_a_at	Mm.5055
1426187_a_at	Mm.256035
1426188_s_at	---
1426189_at	Mm.330671
1426190_at	Mm.348794
1426191_a_at	Mm.238213
1426192_at	Mm.21772
1426193_at	Mm.219545
1426194_x_at	Mm.439723
1426195_a_at	Mm.4263
1426196_at	Mm.342177
1426197_at	Mm.390473
1426198_at	Mm.246497
1426199_x_at	Mm.246497
1426200_at	Mm.305352
1426201_at	Mm.359125
1426202_at	Mm.15680
1426203_at	Mm.196689
1426204_a_at	Mm.285075
1426205_at	Mm.241931
1426206_at	Mm.293315
1426207_at	Mm.277886
1426208_x_at	Mm.287857
1426209_at	Mm.21612
1426210_x_at	Mm.273659
1426211_at	Mm.23488
1426212_s_at	Mm.23488
1426213_at	Mm.291745
1426214_at	Mm.291745
1426215_at	Mm.12906
1426216_at	Mm.249548
1426217_at	Mm.31236
1426218_at	Mm.210787
1426219_at	Mm.379011
1426220_at	Mm.247985
1426221_at	Mm.290950
1426222_s_at	Mm.290950
1426223_at	Mm.52526
1426224_x_at	Mm.272746
1426225_at	Mm.2605
1426226_at	Mm.310973
1426227_s_at	Mm.19091
1426228_at	Mm.400954
1426229_s_at	Mm.383182
1426230_at	Mm.24222
1426231_at	Mm.292983
1426232_at	Mm.127892
1426233_at	Mm.412922
1426234_s_at	Mm.403486
1426235_a_at	Mm.210745
1426236_a_at	Mm.210745
1426237_at	Mm.155547
1426238_at	Mm.27757
1426239_s_at	Mm.203747
1426240_at	Mm.262480
1426241_a_at	Mm.427014
1426242_at	Mm.16533
1426243_at	Mm.28301
1426244_at	Mm.132237
1426245_s_at	Mm.132237
1426246_at	Mm.127156
1426247_at	Mm.390756
1426248_at	Mm.390756
1426249_at	Mm.254144
1426250_s_at	Mm.269061
1426251_at	Mm.108557
1426252_a_at	Mm.10826
1426253_at	Mm.29409
1426254_at	Mm.331719
1426255_at	Mm.1956
1426256_at	Mm.2368
1426257_a_at	Mm.28688
1426258_at	Mm.121920
1426259_at	Mm.255044
1426260_a_at	Mm.300095
1426261_s_at	Mm.300095
1426262_at	Mm.26594
1426263_at	Mm.178322
1426264_at	Mm.285076
1426265_x_at	Mm.285076
1426266_s_at	Mm.36575
1426267_at	Mm.36575
1426268_at	Mm.280211
1426269_at	Mm.1517
1426270_at	Mm.23267
1426271_at	Mm.23267
1426272_at	Mm.41572
1426273_at	Mm.41572
1426274_at	Mm.278924
1426275_a_at	Mm.387202
1426276_at	Mm.136224
1426277_at	Mm.213925
1426278_at	Mm.271275
1426279_at	Mm.240265
1426280_at	Mm.138090
1426281_at	Mm.87321
1426282_at	Mm.283138
1426283_at	Mm.283138
1426284_at	Mm.28042
1426285_at	Mm.256087
1426286_at	Mm.86482
1426287_at	Mm.133625
1426288_at	Mm.275149
1426289_at	Mm.335449
1426290_at	Mm.9563
1426291_at	Mm.9563
1426292_at	Mm.224766
1426293_at	Mm.224766
1426294_at	Mm.266790
1426295_at	Mm.266790
1426296_at	Mm.149
1426297_at	Mm.3406
1426298_at	Mm.28888
1426299_at	Mm.270607
1426300_at	Mm.288282
1426301_at	Mm.288282
1426302_at	Mm.436756
1426303_at	Mm.139825
1426304_x_at	Mm.139825
1426305_at	Mm.25471
1426306_a_at	Mm.22575
1426307_at	Mm.30166
1426308_at	Mm.160088
1426309_at	Mm.79031
1426310_at	Mm.288508
1426311_s_at	Mm.288508
1426312_at	Mm.249822
1426313_at	Mm.249822
1426314_at	Mm.229532
1426315_a_at	Mm.41523
1426316_at	Mm.41523
1426317_at	Mm.83623
1426318_at	Mm.314490
1426319_at	Mm.390122
1426320_at	Mm.443325
1426321_at	Mm.275336
1426322_a_at	Mm.64790
1426323_x_at	Mm.289812
1426324_at	Mm.439675
1426325_at	Mm.99996
1426326_at	Mm.290924
1426327_s_at	Mm.290924
1426328_a_at	Mm.290083
1426329_s_at	Mm.233837
1426330_at	Mm.87663
1426331_a_at	Mm.27789
1426332_a_at	Mm.158662
1426333_a_at	Mm.277886
1426334_a_at	Mm.141083
1426335_at	Mm.40615
1426336_at	Mm.214994
1426337_a_at	Mm.14774
1426338_a_at	Mm.39262
1426339_at	Mm.207057
1426340_at	Mm.204834
1426341_at	Mm.204834
1426342_at	Mm.296158
1426343_at	Mm.296158
1426344_at	Mm.275121
1426345_at	Mm.259035
1426346_at	Mm.259035
1426347_at	Mm.272616
1426348_at	Mm.738
1426349_s_at	Mm.159684
1426350_at	Mm.206642
1426351_at	Mm.378944
1426352_s_at	Mm.242072
1426353_at	Mm.121721
1426354_at	Mm.3779
1426355_a_at	Mm.28085
1426356_at	Mm.28085
1426357_at	Mm.340436
1426358_at	Mm.340436
1426359_at	Mm.245357
1426360_at	Mm.245357
1426361_at	Mm.245357
1426362_at	Mm.46635
1426363_x_at	Mm.272870
1426364_at	Mm.378232
1426365_at	Mm.251800
1426366_at	Mm.274482
1426367_at	Mm.179091
1426368_at	Mm.433263
1426369_at	Mm.206919
1426370_at	Mm.206919
1426371_at	Mm.206919
1426372_a_at	Mm.155696
1426373_at	Mm.28520
1426374_at	Mm.30153
1426375_s_at	Mm.202257
1426376_at	Mm.280075
1426377_at	Mm.62521
1426378_at	Mm.290022
1426379_at	Mm.290022
1426380_at	Mm.290022
1426381_at	Mm.2415
1426382_at	Mm.249695
1426383_at	Mm.254181
1426384_a_at	Mm.234700
1426385_x_at	Mm.234700
1426386_at	Mm.218533
1426387_x_at	Mm.247625
1426388_s_at	Mm.335391
1426389_at	Mm.191949
1426390_a_at	Mm.371546
1426391_at	Mm.371546
1426392_a_at	Mm.183102
1426393_a_at	Mm.293517
1426394_at	Mm.458184
1426395_s_at	Mm.458184
1426396_at	Mm.217308
1426397_at	Mm.172346
1426398_at	Mm.122430
1426399_at	Mm.26515
1426400_a_at	Mm.439782
1426401_at	Mm.331389
1426402_at	Mm.260545
1426403_at	Mm.28521
1426404_a_at	Mm.172605
1426405_at	Mm.172605
1426406_at	Mm.137966
1426407_at	Mm.29495
1426408_at	Mm.29495
1426409_at	Mm.28204
1426410_at	Mm.12775
1426411_a_at	Mm.436522
1426412_at	Mm.4636
1426413_at	Mm.4636
1426414_a_at	Mm.28235
1426415_a_at	Mm.248445
1426416_a_at	Mm.41891
1426417_at	Mm.41891
1426418_at	Mm.87449
1426419_at	Mm.291542
1426420_at	Mm.291542
1426421_s_at	Mm.291542
1426422_at	Mm.41424
1426423_at	Mm.29890
1426424_at	Mm.18972
1426425_at	Mm.18972
1426426_at	Mm.289818
1426427_at	Mm.235007
1426428_at	Mm.10174
1426429_at	Mm.10174
1426430_at	Mm.186146
1426431_at	Mm.186146
1426432_a_at	Mm.41044
1426433_at	Mm.338242
1426434_at	Mm.38801
1426435_at	Mm.208477
1426436_at	Mm.257952
1426437_s_at	Mm.20521
1426438_at	Mm.302938
1426439_at	Mm.302938
1426440_at	Mm.289653
1426441_at	Mm.234608
1426442_at	Mm.241700
1426443_at	Mm.295438
1426444_at	Mm.295438
1426445_at	Mm.244118
1426446_at	Mm.101958
1426447_at	Mm.29200
1426448_at	Mm.8211
1426449_a_at	Mm.8211
1426450_at	Mm.217362
1426451_at	Mm.222303
1426452_a_at	Mm.389966
1426453_at	Mm.41933
1426454_at	Mm.2241
1426455_at	Mm.235398
1426456_a_at	Mm.6370
1426457_at	Mm.36769
1426458_at	Mm.36769
1426459_s_at	Mm.21299
1426460_a_at	Mm.28877
1426461_at	Mm.28877
1426462_at	Mm.341742
1426463_at	Mm.341742
1426464_at	Mm.390397
1426465_at	Mm.22094
1426466_s_at	Mm.44829
1426467_s_at	Mm.274853
1426468_at	Mm.274853
1426469_a_at	Mm.323
1426470_at	Mm.323
1426471_at	Mm.296100
1426472_at	Mm.296100
1426473_at	Mm.2871
1426474_at	Mm.41651
1426475_at	Mm.247676
1426476_at	Mm.259653
1426477_at	Mm.259653
1426478_at	Mm.259653
1426479_a_at	Mm.240325
1426480_at	Mm.280484
1426481_at	Mm.282807
1426482_at	Mm.4428
1426483_at	Mm.4428
1426484_at	Mm.293321
1426485_at	Mm.293321
1426486_at	Mm.293321
1426487_a_at	Mm.4480
1426488_at	Mm.223689
1426489_s_at	Mm.223689
1426490_at	Mm.223689
1426491_at	Mm.20929
1426492_at	Mm.312323
1426493_a_at	Mm.378950
1426494_at	Mm.46761
1426495_at	---
1426496_at	Mm.271719
1426497_at	Mm.142655
1426498_at	Mm.142655
1426499_at	Mm.33343
1426500_at	Mm.277464
1426501_a_at	Mm.31852
1426502_s_at	Mm.30130
1426503_a_at	Mm.101141
1426504_a_at	Mm.101141
1426505_at	---
1426506_at	Mm.439665
1426507_at	Mm.29261
1426508_at	Mm.1239
1426509_s_at	Mm.1239
1426510_at	Mm.136458
1426511_at	Mm.247956
1426512_at	Mm.54183
1426513_at	Mm.40802
1426514_at	Mm.213582
1426515_a_at	Mm.154994
1426516_a_at	Mm.153625
1426517_at	Mm.32595
1426518_at	Mm.284306
1426519_at	Mm.2212
1426520_at	Mm.431317
1426521_at	Mm.334761
1426522_at	Mm.291463
1426523_a_at	Mm.33830
1426524_at	Mm.33830
1426525_at	Mm.17166
1426526_s_at	Mm.431947
1426527_at	Mm.30534
1426528_at	Mm.266341
1426529_a_at	Mm.271711
1426530_a_at	Mm.10281
1426531_at	Mm.397307
1426532_at	Mm.397307
1426533_at	Mm.29363
1426534_a_at	Mm.258910
1426535_at	Mm.284366
1426536_at	Mm.35911
1426537_at	Mm.35911
1426538_a_at	Mm.222
1426539_at	Mm.34489
1426540_at	Mm.41423
1426541_a_at	Mm.41423
1426542_at	Mm.41423
1426543_x_at	Mm.41423
1426544_a_at	Mm.275710
1426545_at	Mm.131328
1426546_at	Mm.425201
1426547_at	Mm.196595
1426548_a_at	Mm.117809
1426549_at	Mm.278085
1426550_at	Mm.242144
1426551_at	Mm.242144
1426552_a_at	Mm.53687
1426553_at	Mm.296915
1426554_a_at	Mm.391589
1426555_at	Mm.34126
1426556_at	Mm.242791
1426557_at	Mm.1404
1426558_x_at	Mm.354356
1426559_at	Mm.23879
1426560_a_at	Mm.279310
1426561_a_at	Mm.279310
1426562_a_at	Mm.43278
1426563_at	Mm.258371
1426564_at	Mm.258371
1426565_at	Mm.275742
1426566_s_at	Mm.131781
1426567_a_at	Mm.29247
1426568_at	Mm.260137
1426569_a_at	Mm.332432
1426570_a_at	Mm.332432
1426571_at	Mm.26700
1426572_at	Mm.36817
1426573_at	Mm.36817
1426574_a_at	Mm.426080
1426575_at	Mm.329810
1426576_at	Mm.329810
1426577_a_at	Mm.379242
1426578_s_at	Mm.331182
1426579_at	Mm.90760
1426580_at	Mm.3794
1426581_at	Mm.23926
1426582_at	Mm.209903
1426583_at	Mm.209903
1426584_a_at	Mm.371580
1426585_s_at	Mm.196581
1426586_at	Mm.296082
1426587_a_at	Mm.249934
1426588_at	Mm.209875
1426589_at	Mm.267056
1426590_at	Mm.219675
1426591_at	Mm.219675
1426592_a_at	Mm.276429
1426593_a_at	Mm.276429
1426594_at	Mm.27789
1426595_at	Mm.19301
1426596_a_at	Mm.2025
1426597_s_at	Mm.30464
1426598_at	Mm.20477
1426599_a_at	Mm.21002
1426600_at	Mm.21002
1426601_at	Mm.311395
1426602_at	Mm.220946
1426603_at	Mm.259254
1426604_at	Mm.259254
1426605_at	Mm.226957
1426606_at	Mm.313558
1426607_at	Mm.46679
1426608_at	Mm.46679
1426609_at	Mm.163339
1426610_a_at	Mm.252195
1426611_at	Mm.2462
1426612_at	Mm.196219
1426613_a_at	Mm.1323
1426614_at	Mm.227598
1426615_s_at	Mm.29846
1426616_at	Mm.390375
1426617_a_at	Mm.29729
1426618_a_at	Mm.196045
1426619_at	Mm.131453
1426620_at	Mm.260054
1426621_a_at	Mm.26134
1426622_a_at	Mm.293870
1426623_a_at	Mm.403318
1426624_a_at	Mm.27114
1426625_at	Mm.273264
1426626_at	Mm.20415
1426627_at	Mm.258589
1426628_at	Mm.273578
1426629_at	Mm.28186
1426630_at	Mm.150972
1426631_at	Mm.58660
1426632_at	Mm.334033
1426633_s_at	Mm.334033
1426634_at	Mm.26630
1426635_at	Mm.272981
1426636_a_at	Mm.259879
1426637_a_at	Mm.391586
1426638_at	Mm.391586
1426639_a_at	Mm.139815
1426640_s_at	Mm.266679
1426641_at	Mm.266679
1426642_at	Mm.193099
1426643_at	Mm.29719
1426644_at	Mm.288733
1426645_at	Mm.1843
1426646_at	Mm.22565
1426647_at	Mm.22565
1426648_at	Mm.221235
1426649_at	Mm.466708
1426650_at	Mm.340163
1426651_at	Mm.238455
1426652_at	Mm.4502
1426653_at	Mm.4502
1426654_at	Mm.29780
1426655_a_at	Mm.279287
1426656_at	Mm.279287
1426657_s_at	Mm.425939
1426658_x_at	Mm.16898
1426659_a_at	Mm.443576
1426660_x_at	Mm.443576
1426661_at	Mm.142380
1426662_at	Mm.3820
1426663_s_at	Mm.200307
1426664_x_at	Mm.200307
1426665_at	Mm.28382
1426666_a_at	Mm.210845
1426667_a_at	Mm.210845
1426668_at	Mm.234455
1426669_at	Mm.86360
1426670_at	Mm.273098
1426671_a_at	Mm.392436
1426672_at	Mm.87676
1426673_at	Mm.4658
1426674_at	Mm.21671
1426675_at	Mm.213292
1426676_s_at	Mm.213292
1426677_at	Mm.295533
1426678_at	Mm.371631
1426679_at	Mm.371631
1426680_at	Mm.29773
1426681_at	Mm.297706
1426682_at	Mm.247113
1426683_at	Mm.247113
1426684_at	Mm.247113
1426685_a_at	Mm.247113
1426686_s_at	Mm.27041
1426687_at	Mm.27041
1426688_at	Mm.158231
1426689_s_at	Mm.158231
1426690_a_at	Mm.278701
1426691_at	Mm.284594
1426692_at	Mm.278798
1426693_x_at	Mm.248237
1426694_at	Mm.213298
1426695_at	Mm.213298
1426696_at	Mm.277661
1426697_a_at	Mm.277661
1426698_a_at	Mm.311439
1426699_at	Mm.206206
1426700_a_at	Mm.244183
1426701_at	Mm.30254
1426702_at	Mm.30254
1426703_at	Mm.276647
1426704_at	Mm.276647
1426705_s_at	Mm.21118
1426706_s_at	Mm.219497
1426707_at	Mm.246402
1426708_at	Mm.24842
1426709_a_at	Mm.258320
1426710_at	Mm.288630
1426711_at	Mm.219813
1426712_at	Mm.458408
1426713_s_at	Mm.154511
1426714_at	Mm.131618
1426715_s_at	Mm.131618
1426716_at	Mm.275413
1426717_at	Mm.333893
1426718_at	Mm.291029
1426719_at	Mm.392114
1426720_at	Mm.5159
1426721_s_at	Mm.246398
1426722_at	Mm.46754
1426723_at	Mm.104789
1426724_at	Mm.275555
1426725_s_at	Mm.292415
1426726_at	Mm.29385
1426727_s_at	Mm.29385
1426728_x_at	Mm.293591
1426729_at	Mm.196512
1426730_a_at	Mm.5099
1426731_at	Mm.6712
1426732_at	Mm.6712
1426733_at	Mm.291222
1426734_at	Mm.28244
1426735_at	Mm.331142
1426736_at	Mm.325827
1426737_at	Mm.325827
1426738_at	Mm.314923
1426739_at	Mm.328698
1426740_s_at	Mm.472742
1426741_a_at	Mm.30965
1426742_at	Mm.251152
1426743_at	Mm.282985
1426744_at	Mm.38016
1426745_at	Mm.29852
1426746_at	Mm.39704
1426747_at	Mm.27135
1426748_s_at	Mm.27135
1426749_at	Mm.33202
1426750_at	Mm.28095
1426751_s_at	Mm.12568
1426752_at	Mm.286285
1426753_at	Mm.286285
1426754_x_at	Mm.334999
1426755_at	Mm.334999
1426756_at	Mm.33808
1426757_at	Mm.274335
1426758_s_at	Mm.289645
1426759_at	Mm.458168
1426760_at	Mm.260105
1426761_at	Mm.28540
1426762_s_at	Mm.28540
1426763_at	Mm.116749
1426764_at	Mm.116749
1426765_at	Mm.294478
1426766_at	Mm.27768
1426767_at	Mm.35470
1426768_at	Mm.181475
1426769_s_at	Mm.51116
1426770_at	Mm.22418
1426771_at	Mm.471608
1426772_x_at	Mm.333026
1426773_at	Mm.471635
1426774_at	Mm.268462
1426775_s_at	Mm.201455
1426776_at	Mm.1574
1426777_a_at	Mm.1574
1426778_at	Mm.7524
1426779_x_at	Mm.7524
1426780_at	Mm.287279
1426781_at	Mm.271296
1426782_at	Mm.272974
1426783_at	Mm.218837
1426784_at	Mm.347770
1426785_s_at	Mm.272197
1426786_s_at	Mm.23705
1426787_at	Mm.320785
1426788_a_at	Mm.219793
1426789_s_at	Mm.219793
1426790_at	Mm.219793
1426791_at	Mm.248096
1426792_s_at	Mm.248096
1426793_a_at	Mm.289810
1426794_at	Mm.258771
1426795_at	Mm.258771
1426796_at	Mm.202358
1426797_at	Mm.45418
1426798_a_at	Mm.293628
1426799_at	Mm.260376
1426800_at	Mm.260376
1426801_at	Mm.274399
1426802_at	Mm.274399
1426803_at	Mm.291542
1426804_at	Mm.286593
1426805_at	Mm.286593
1426806_at	Mm.196290
1426807_at	Mm.271071
1426808_at	Mm.248615
1426809_at	Mm.308539
1426810_at	Mm.260479
1426811_at	Mm.118076
1426812_a_at	Mm.301646
1426813_at	Mm.117581
1426814_at	Mm.206371
1426815_s_at	Mm.206371
1426816_at	Mm.233914
1426817_at	Mm.4078
1426818_at	Mm.251199
1426819_at	Mm.257925
1426820_at	Mm.237103
1426821_at	Mm.288641
1426822_at	Mm.277233
1426823_s_at	Mm.240066
1426824_at	Mm.240066
1426825_at	Mm.29043
1426826_at	Mm.124373
1426827_at	Mm.196325
1426828_at	Mm.276193
1426829_at	Mm.259301
1426830_a_at	Mm.220328
1426831_at	Mm.220328
1426832_at	Mm.72753
1426833_at	Mm.268903
1426834_s_at	Mm.28838
1426835_at	Mm.26833
1426836_s_at	Mm.26833
1426837_at	Mm.26833
1426838_at	Mm.37562
1426839_at	Mm.37562
1426840_at	Mm.23834
1426841_at	Mm.23834
1426842_at	Mm.23834
1426843_at	Mm.277384
1426844_a_at	Mm.38173
1426845_at	Mm.38173
1426846_at	Mm.334775
1426847_at	Mm.332616
1426848_at	Mm.192303
1426849_at	Mm.192303
1426850_a_at	Mm.14487
1426851_a_at	Mm.5167
1426852_x_at	Mm.5167
1426853_at	Mm.326055
1426854_a_at	Mm.326055
1426855_at	Mm.272230
1426856_at	Mm.272905
1426857_a_at	Mm.272905
1426858_at	Mm.3092
1426859_at	Mm.3092
1426860_at	Mm.270487
1426861_at	Mm.356580
1426862_at	Mm.356580
1426863_at	Mm.28275
1426864_a_at	Mm.4974
1426865_a_at	Mm.4974
1426866_at	Mm.278349
1426867_at	Mm.275572
1426868_x_at	Mm.472685
1426869_at	Mm.41561
1426870_at	Mm.311026
1426871_at	Mm.311026
1426872_at	Mm.292276
1426873_s_at	Mm.299774
1426874_at	Mm.28979
1426875_s_at	Mm.218639
1426876_at	Mm.23844
1426877_a_at	Mm.27913
1426878_at	Mm.27913
1426879_at	Mm.289373
1426880_at	Mm.237935
1426881_at	Mm.137746
1426882_at	Mm.137746
1426883_at	Mm.5323
1426884_at	Mm.28474
1426885_a_at	Mm.425284
1426886_at	Mm.295289
1426887_at	Mm.426101
1426888_at	Mm.35345
1426889_at	Mm.180410
1426890_a_at	Mm.259223
1426891_at	Mm.259223
1426892_at	Mm.331784
1426893_at	Mm.4065
1426894_s_at	Mm.4065
1426895_at	Mm.417427
1426896_at	Mm.417427
1426897_at	Mm.473710
1426898_at	Mm.288245
1426899_at	Mm.257819
1426900_at	Mm.23846
1426901_s_at	Mm.473726
1426902_at	Mm.280062
1426903_at	Mm.205421
1426904_s_at	Mm.21762
1426905_a_at	Mm.21762
1426906_at	Mm.261270
1426907_s_at	Mm.12412
1426908_at	Mm.62886
1426909_at	Mm.440156
1426910_at	Mm.391419
1426911_at	Mm.280547
1426912_at	Mm.372117
1426913_at	Mm.55075
1426914_at	Mm.25300
1426915_at	Mm.24103
1426916_at	Mm.247457
1426917_s_at	Mm.247457
1426918_at	Mm.263396
1426919_at	Mm.263396
1426920_x_at	Mm.263396
1426921_at	Mm.329022
1426922_s_at	Mm.433409
1426923_at	Mm.433409
1426924_at	Mm.288785
1426925_at	Mm.288785
1426926_at	Mm.192699
1426927_at	Mm.322894
1426928_at	Mm.25788
1426929_at	Mm.266435
1426930_at	Mm.266435
1426931_s_at	Mm.261027
1426932_at	Mm.261027
1426933_at	Mm.293565
1426934_at	Mm.297971
1426935_at	---
1426936_at	---
1426937_at	Mm.252139
1426938_at	Mm.247195
1426939_at	Mm.8142
1426940_at	Mm.379345
1426941_at	Mm.32566
1426942_at	Mm.292082
1426943_at	Mm.292942
1426944_at	Mm.221769
1426945_at	Mm.221452
1426946_at	Mm.221452
1426947_x_at	Mm.1949
1426948_at	Mm.174256
1426949_s_at	Mm.174256
1426950_at	Mm.31129
1426951_at	Mm.311912
1426952_at	Mm.356496
1426953_at	Mm.261739
1426954_at	Mm.195036
1426955_at	Mm.4352
1426956_a_at	Mm.215389
1426957_at	Mm.215389
1426958_at	Mm.13944
1426959_at	Mm.293470
1426960_a_at	Mm.41083
1426961_at	Mm.427078
1426962_at	Mm.427078
1426963_at	Mm.35754
1426964_at	Mm.276041
1426965_at	Mm.261448
1426966_at	Mm.23684
1426967_at	Mm.23684
1426968_a_at	Mm.274376
1426969_at	Mm.244190
1426970_a_at	Mm.277125
1426971_at	Mm.277125
1426972_at	Mm.29293
1426973_at	Mm.23235
1426974_at	Mm.295246
1426975_at	Mm.295246
1426976_at	Mm.16974
1426977_at	Mm.16974
1426978_at	Mm.350347
1426979_at	Mm.83277
1426980_s_at	Mm.24506
1426981_at	Mm.294007
1426982_at	Mm.328835
1426983_at	Mm.52297
1426984_at	Mm.23168
1426985_s_at	Mm.246174
1426986_at	Mm.246174
1426987_at	Mm.393006
1426988_at	Mm.32497
1426989_at	Mm.193701
1426990_at	Mm.313915
1426991_at	Mm.11233
1426992_at	Mm.266215
1426993_at	Mm.266215
1426994_at	Mm.24115
1426995_a_at	Mm.28124
1426996_at	Mm.267178
1426997_at	Mm.265917
1426998_at	Mm.220972
1426999_at	Mm.25549
1427000_at	Mm.202383
1427001_s_at	Mm.202383
1427002_s_at	Mm.211850
1427003_at	Mm.240396
1427004_at	Mm.262287
1427005_at	Mm.380
1427006_at	Mm.298274
1427007_at	Mm.276131
1427008_at	Mm.440230
1427009_at	Mm.4339
1427010_s_at	Mm.4339
1427011_a_at	Mm.20522
1427012_at	Mm.20522
1427013_at	Mm.283682
1427014_at	Mm.30571
1427015_at	Mm.22915
1427016_at	Mm.207907
1427017_at	Mm.145599
1427018_at	Mm.386810
1427019_at	Mm.41639
1427020_at	Mm.344095
1427021_s_at	Mm.1776
1427022_at	Mm.41367
1427023_at	Mm.181061
1427024_at	Mm.121285
1427025_at	Mm.383205
1427026_at	Mm.297382
1427027_a_at	Mm.358698
1427028_at	Mm.279594
1427029_at	Mm.274255
1427030_at	Mm.24035
1427031_s_at	Mm.24035
1427032_at	Mm.234437
1427033_at	Mm.159024
1427034_at	Mm.754
1427035_at	Mm.270647
1427036_a_at	Mm.260256
1427037_at	Mm.260256
1427038_at	Mm.2899
1427039_at	Mm.3091
1427040_at	Mm.1314
1427041_at	Mm.290912
1427042_at	Mm.473787
1427043_s_at	Mm.327730
1427044_a_at	Mm.101650
1427045_at	Mm.252321
1427046_at	Mm.244612
1427047_at	Mm.330119
1427048_at	Mm.29279
1427049_s_at	Mm.29279
1427050_at	Mm.28129
1427051_at	Mm.23606
1427052_at	Mm.81793
1427053_at	Mm.209236
1427054_s_at	Mm.209236
1427055_at	Mm.45092
1427056_at	Mm.65867
1427057_at	Mm.440762
1427058_at	Mm.371557
1427059_at	Mm.323358
1427060_at	Mm.8385
1427061_at	Mm.154275
1427062_at	Mm.154275
1427063_at	Mm.316890
1427064_a_at	Mm.25568
1427065_at	Mm.29950
1427066_a_at	Mm.29950
1427067_at	Mm.29950
1427068_x_at	Mm.29950
1427069_at	Mm.30737
1427070_at	Mm.295647
1427071_at	Mm.28865
1427072_at	Mm.236928
1427073_at	Mm.89646
1427074_at	Mm.271986
1427075_s_at	Mm.271986
1427076_at	Mm.3999
1427077_a_at	Mm.39053
1427078_at	Mm.35084
1427079_at	Mm.332295
1427080_at	Mm.29068
1427081_at	Mm.254286
1427082_at	Mm.296302
1427083_a_at	Mm.473721
1427084_a_at	Mm.473721
1427085_at	Mm.425182
1427086_at	Mm.426280
1427087_at	Mm.276133
1427088_at	Mm.268672
1427089_at	Mm.268672
1427090_at	Mm.422861
1427091_at	Mm.297074
1427092_at	---
1427093_at	Mm.294295
1427094_at	Mm.9199
1427095_at	Mm.27519
1427096_s_at	Mm.831
1427097_at	Mm.78312
1427098_at	Mm.78312
1427099_at	Mm.378964
1427100_at	Mm.41925
1427101_at	Mm.41925
1427102_at	Mm.38192
1427103_at	Mm.247303
1427104_at	Mm.87487
1427105_at	Mm.23185
1427106_at	Mm.23423
1427107_at	Mm.289238
1427108_at	Mm.291979
1427109_at	Mm.29442
1427110_at	Mm.432511
1427111_s_at	Mm.432511
1427112_at	Mm.391913
1427113_s_at	Mm.391913
1427114_at	Mm.69739
1427115_at	Mm.340090
1427116_at	Mm.435494
1427117_at	Mm.425669
1427118_at	---
1427119_at	Mm.25246
1427120_at	Mm.107441
1427121_at	Mm.234191
1427122_at	Mm.22891
