Probe Set ID	UniGene ID
1415905_at	Mm.142731
1415906_at	Mm.142729
1415907_at	Mm.246520
1415908_at	Mm.20445
1415909_at	Mm.258633
1415910_s_at	Mm.27582
1415911_at	Mm.8154
1415912_a_at	Mm.14798
1415913_at	Mm.14798
1415914_at	Mm.280842
1415915_at	Mm.251255
1415916_a_at	Mm.29584
1415917_at	Mm.29584
1415918_a_at	Mm.4222
1415919_at	Mm.1131
1415920_at	Mm.22031
1415921_a_at	Mm.281356
1415922_s_at	Mm.424974
1415923_at	Mm.400253
1415924_at	Mm.425024
1415925_a_at	Mm.2565
1415926_at	Mm.2565
1415927_at	Mm.686
1415928_a_at	Mm.28357
1415929_at	Mm.28357
1415930_a_at	Mm.28357
1415931_at	Mm.3862
1415932_x_at	Mm.330819
1415933_a_at	Mm.273403
1415934_at	Mm.119177
1415935_at	Mm.30162
1415936_at	Mm.45815
1415937_s_at	Mm.29816
1415938_at	Mm.272
1415939_at	Mm.287146
1415940_at	Mm.24521
1415941_s_at	Mm.24521
1415942_at	Mm.423042
1415943_at	Mm.2580
1415944_at	Mm.2580
1415945_at	Mm.5048
1415946_at	Mm.362054
1415947_at	Mm.458621
1415948_at	Mm.294885
1415949_at	Mm.31395
1415950_a_at	Mm.338476
1415951_at	Mm.3894
1415952_at	Mm.258986
1415953_s_at	Mm.258986
1415954_at	Mm.443422
1415955_x_at	Mm.42733
1415956_a_at	Mm.102574
1415957_a_at	Mm.38344
1415958_at	Mm.10661
1415959_at	Mm.10661
1415960_at	Mm.4668
1415961_at	Mm.29870
1415962_at	Mm.289800
1415963_at	Mm.315909
1415964_at	Mm.267377
1415965_at	Mm.267377
1415966_a_at	Mm.29842
1415967_at	Mm.29842
1415968_a_at	Mm.13052
1415969_s_at	Mm.13052
1415970_at	Mm.548
1415971_at	Mm.473711
1415972_at	Mm.473711
1415973_at	Mm.473711
1415974_at	Mm.275436
1415975_at	Mm.142095
1415976_a_at	Mm.142095
1415977_at	Mm.29357
1415978_at	Mm.40068
1415979_x_at	Mm.379004
1415980_at	Mm.10314
1415981_at	Mm.142843
1415982_at	Mm.142843
1415983_at	Mm.153911
1415984_at	Mm.10530
1415985_at	Mm.236123
1415986_at	Mm.297883
1415987_at	Mm.30012
1415988_at	Mm.30012
1415989_at	Mm.76649
1415990_at	Mm.262327
1415991_a_at	Mm.254784
1415992_at	Mm.143738
1415993_at	Mm.296169
1415994_at	Mm.21758
1415995_at	Mm.281379
1415996_at	Mm.410189
1415997_at	Mm.410189
1415998_at	Mm.3555
1415999_at	Mm.29581
1416000_a_at	Mm.30929
1416001_a_at	Mm.473725
1416002_x_at	Mm.473725
1416003_at	Mm.4425
1416004_at	Mm.332314
1416005_at	Mm.157105
1416006_at	Mm.906
1416007_at	Mm.311655
1416008_at	Mm.311655
1416009_at	Mm.28484
1416010_a_at	Mm.30169
1416011_x_at	Mm.30169
1416012_at	Mm.30169
1416013_at	Mm.6483
1416014_at	Mm.5831
1416015_s_at	Mm.5831
1416016_at	Mm.207996
1416017_at	Mm.258785
1416018_at	Mm.303534
1416019_at	Mm.303534
1416020_a_at	Mm.258
1416021_a_at	Mm.741
1416022_at	Mm.741
1416023_at	Mm.388886
1416024_x_at	Mm.256034
1416025_at	Mm.16422
1416026_a_at	Mm.381297
1416027_at	Mm.24254
1416028_a_at	Mm.1775
1416029_at	Mm.4292
1416030_a_at	Mm.378965
1416031_s_at	Mm.378965
1416032_at	Mm.251890
1416033_at	Mm.251890
1416034_at	Mm.29742
1416035_at	Mm.3879
1416036_at	Mm.278458
1416037_a_at	Mm.247788
1416038_at	Mm.439987
1416039_x_at	Mm.1231
1416040_at	Mm.329816
1416041_at	Mm.28405
1416042_s_at	Mm.257181
1416043_at	Mm.257181
1416044_at	Mm.339755
1416045_a_at	Mm.279751
1416046_a_at	Mm.26625
1416047_at	Mm.26625
1416048_at	Mm.259103
1416049_at	Mm.274852
1416050_a_at	Mm.282242
1416051_at	Mm.283217
1416052_at	Mm.287178
1416053_at	Mm.428543
1416054_at	Mm.5291
1416055_at	Mm.439729
1416056_a_at	Mm.30084
1416057_at	Mm.30084
1416058_s_at	Mm.12677
1416059_at	Mm.248492
1416060_at	Mm.22252
1416061_at	Mm.22252
1416062_at	Mm.22252
1416063_x_at	Mm.36666
1416064_a_at	Mm.330160
1416065_a_at	Mm.12459
1416066_at	Mm.210676
1416067_at	Mm.168
1416068_at	Mm.196544
1416069_at	Mm.273874
1416070_a_at	Mm.44219
1416071_at	Mm.44219
1416072_at	Mm.29798
1416073_a_at	Mm.4379
1416074_a_at	Mm.361651
1416075_at	Mm.390480
1416076_at	Mm.260114
1416077_at	Mm.1408
1416078_s_at	Mm.184163
1416079_a_at	Mm.371610
1416080_at	Mm.274049
1416081_at	Mm.223717
1416082_at	Mm.271944
1416083_at	Mm.292405
1416084_at	Mm.292405
1416085_s_at	Mm.292405
1416086_at	Mm.250631
1416087_at	Mm.833
1416088_a_at	Mm.643
1416089_at	Mm.643
1416090_at	Mm.301527
1416091_at	Mm.217318
1416092_a_at	Mm.217318
1416093_a_at	Mm.23825
1416094_at	Mm.28908
1416095_x_at	Mm.372367
1416096_at	Mm.208750
1416097_at	Mm.443660
1416098_at	Mm.26032
1416099_at	Mm.340658
1416100_at	Mm.3955
1416101_a_at	Mm.193539
1416102_at	Mm.3360
1416103_at	Mm.3360
1416104_at	Mm.89579
1416105_at	Mm.195803
1416106_at	Mm.440007
1416107_at	Mm.3304
