ProbeID	TargetID
A_52_P161087	NM_001004362
A_52_P623640	NM_001004363
A_51_P168613	NM_001004363
A_52_P536731	NM_001004364
A_51_P427080	NM_001004364
A_52_P355365	NM_001004365
A_52_P65506	NM_001004367
A_52_P215106	NM_001004435
A_51_P160625	NM_001004436
A_52_P97154	NM_001004436
A_52_P576230	NM_001004468
A_52_P222709	NM_001004721
A_51_P116986	NM_001004721
A_52_P133578	NM_001004761
A_51_P281543	NM_001004761
A_52_P243075	NM_001004762
A_52_P654618	NM_001005223
A_51_P156144	NM_001005232
A_52_P669145	NM_001005247
A_51_P357114	NM_001005358
A_52_P282838	NM_001005370
A_52_P24951	NM_001005419
A_52_P375312	NM_001005421
A_52_P572537	NM_001005423
A_52_P116973	NM_001005425
A_51_P145589	NM_001005426
A_52_P154026	NM_001005426
A_52_P13333	NM_001005477
A_52_P13326	NM_001005477
A_51_P399924	NM_001005506
A_51_P485458	NM_001005506
A_52_P184052	NM_001005507
A_52_P487024	NM_001005507
A_52_P589268	NM_001005507
A_51_P291227	NM_001005508
A_52_P274960	NM_001005508
A_52_P620793	NM_001005509
A_52_P995597	NM_001005510
A_52_P452315	NM_001005510
A_52_P315022	NM_001005510
A_52_P601950	NM_001005510
A_51_P210143	NM_001005510
A_51_P224872	NM_001005510
A_52_P543080	NM_001005510
A_51_P128913	NM_001005520
A_51_P162853	NM_001005568
A_52_P68633	NM_001005569
A_52_P59422	NM_001005605
A_52_P143287	NM_001005608
A_51_P408382	NM_001005608
A_52_P247943	NM_001005767
A_52_P667567	NM_001005784
A_52_P176333	NM_001005787
A_52_P478550	NM_001005788
A_51_P119544	NM_001005847
A_52_P560176	NM_001005854
A_52_P663686	NM_001005858
A_51_P243283	NM_001005859
A_52_P357177	NM_001005863
A_51_P341801	NM_001005863
A_52_P202895	NM_001005863
A_52_P19159	NM_001005863
A_51_P267338	NM_001005868
A_52_P276815	NM_001005868
A_52_P314548	NM_001005916
A_51_P385472	NM_001007220
A_52_P366005	NM_001007223
A_52_P500202	NM_001007266
A_52_P399175	NM_001007465
A_51_P371675	NM_001007567
A_52_P314940	NM_001007568
A_51_P222993	NM_001007569
A_52_P145011	NM_001007570
A_51_P391668	NM_001007571
A_51_P239601	NM_001007572
A_51_P429663	NM_001007576
A_51_P162564	NM_001007577
A_52_P552971	NM_001007577
A_52_P149364	NM_001007578
A_52_P89884	NM_001007580
A_51_P356003	NM_001007580
A_51_P468505	NM_001007581
A_52_P442779	NM_001007589
A_52_P188593	NM_001007590
A_52_P188589	NM_001007590
A_52_P650333	NM_001007591
A_52_P216820	NM_001008230
A_51_P328202	NM_001008231
A_52_P390241	NM_001008231
A_52_P412674	NM_001008231
